Player,Valoration,Game_Day,Stats_Valoration
Rudy Fernandez,0.105,2021-12-14,0.116
Adam Hanga,0.0,2021-12-14,0.097
Jeffery Taylor,0.0,2021-12-14,0.046
Fabien Causeur,0.0,2021-12-14,0.061
Fabien Causeur,0.124,2021-12-16,0.106
Rudy Fernandez,0.142,2021-12-16,0.113
Adam Hanga,0.235,2021-12-16,0.069
Jeffery Taylor,0.0,2021-12-16,0.053
Rudy Fernandez,0.049,2021-12-19,0.036
Adam Hanga,0.0,2021-12-19,0.084
Jeffery Taylor,0.0,2021-12-19,0.124
Rudy Fernandez,0.176,2021-12-23,0.127
Jeffery Taylor,0.0,2021-12-23,0.068
Jeffery Taylor,-0.07,2022-01-09,0.119
Adam Hanga,0.017,2022-01-09,0.144
Alberto Abalde,0.05,2022-01-09,0.058
Fabien Causeur,0.032,2022-01-09,0.029
Rudy Fernandez,0.129,2022-01-09,0.0
Alberto Abalde,-0.067,2022-01-14,0.149
Jeffery Taylor,-0.105,2022-01-14,0.089
Fabien Causeur,0.085,2022-01-14,0.076
Adam Hanga,0.0,2022-01-14,0.037
Alberto Abalde,-0.029,2022-01-23,0.141
Jeffery Taylor,-0.2,2022-01-23,0.048
Gabriel Deck,0.287,2022-01-23,0.029
Adam Hanga,0.7,2022-01-23,0.024
Rudy Fernandez,-0.045,2022-01-23,0.042
Alberto Abalde,0.169,2022-01-25,0.106
Rudy Fernandez,-0.117,2022-01-25,0.124
Jeffery Taylor,0.16,2022-01-25,0.05
Gabriel Deck,0.13,2022-01-28,0.096
Rudy Fernandez,0.135,2022-01-28,0.147
Alberto Abalde,0.0,2022-01-28,0.054
Jeffery Taylor,-0.2,2022-01-28,0.05
Fabien Causeur,0.137,2022-01-30,0.201
Gabriel Deck,0.338,2022-01-30,0.132
Alberto Abalde,0.0,2022-01-30,0.037
Jeffery Taylor,0.0,2022-01-30,0.007
Rudy Fernandez,-0.003,2022-02-02,0.073
Fabien Causeur,0.108,2022-02-02,0.036
Alberto Abalde,0.0,2022-02-02,0.077
Fabien Causeur,0.145,2022-02-04,0.066
Rudy Fernandez,-0.094,2022-02-04,0.094
Alberto Abalde,-0.083,2022-02-04,0.098
Rudy Fernandez,0.165,2022-02-06,0.183
Fabien Causeur,0.13,2022-02-06,0.042
Alberto Abalde,0.0,2022-02-06,0.058
Rudy Fernandez,0.0,2022-02-08,0.085
Fabien Causeur,0.044,2022-02-08,0.017
Alberto Abalde,0.41,2022-02-08,0.007
Fabien Causeur,0.183,2022-02-11,0.057
Alberto Abalde,0.067,2022-02-11,0.115
Adam Hanga,-0.277,2022-02-11,0.039
Fabien Causeur,0.013,2022-02-13,0.134
Alberto Abalde,-0.001,2022-02-13,0.104
Adam Hanga,0.023,2022-02-13,0.035
Fabien Causeur,-0.059,2022-02-17,0.07
Alberto Abalde,0.273,2022-02-17,0.092
Adam Hanga,0.41,2022-02-17,0.029
Jeffery Taylor,0.0,2022-02-17,0.0
Fabien Causeur,0.239,2022-02-19,0.056
Rudy Fernandez,0.154,2022-02-19,0.067
Alberto Abalde,0.196,2022-02-19,0.076
Adam Hanga,0.0,2022-02-19,0.03
Gabriel Deck,0.0,2022-02-19,0.025
Jeffery Taylor,0.059,2022-02-19,0.086
Rudy Fernandez,0.078,2022-02-20,0.104
Alberto Abalde,0.445,2022-02-20,0.171
Adam Hanga,0.013,2022-02-20,0.1
Gabriel Deck,0.12,2022-02-20,0.083
Jeffery Taylor,0.268,2022-02-20,0.065
Gabriel Deck,0.042,2022-02-24,0.043
Alberto Abalde,0.215,2022-02-24,0.093
Adam Hanga,0.4,2022-02-24,0.12
Jeffery Taylor,0.0,2022-02-24,0.031
Rudy Fernandez,-0.023,2022-03-06,0.123
Gabriel Deck,0.201,2022-03-06,0.067
Adam Hanga,0.05,2022-03-06,0.051
Jeffery Taylor,0.0,2022-03-06,0.026
Alberto Abalde,0.0,2022-03-06,0.047
Alberto Abalde,0.8,2022-03-08,0.047
Adam Hanga,-0.05,2022-03-08,0.134
Rudy Fernandez,0.042,2022-03-08,0.058
Gabriel Deck,0.141,2022-03-10,0.126
Alberto Abalde,0.05,2022-03-10,0.014
Rudy Fernandez,0.035,2022-03-10,0.117
Adam Hanga,0.441,2022-03-10,0.009
Alberto Abalde,0.115,2022-03-13,0.092
Gabriel Deck,0.109,2022-03-13,0.172
Adam Hanga,0.0,2022-03-13,0.119
Rudy Fernandez,0.096,2022-03-17,0.202
Gabriel Deck,0.082,2022-03-17,0.081
Adam Hanga,0.0,2022-03-17,0.021
Gabriel Deck,0.09,2022-03-20,0.134
Rudy Fernandez,0.16,2022-03-20,0.224
Gabriel Deck,0.161,2022-03-22,0.243
Adam Hanga,0.11,2022-03-22,0.074
Rudy Fernandez,-0.007,2022-03-22,0.041
Gabriel Deck,0.002,2022-03-24,0.072
Adam Hanga,0.049,2022-03-24,0.116
Rudy Fernandez,0.0,2022-03-24,0.091
Gabriel Deck,0.192,2022-03-27,0.135
Jeffery Taylor,0.0,2022-03-27,0.043
Adam Hanga,0.0,2022-03-27,0.051
Rudy Fernandez,-0.025,2022-03-27,0.036
Fabien Causeur,0.15,2022-03-27,0.029
Gabriel Deck,0.028,2022-03-31,0.069
Rudy Fernandez,0.076,2022-03-31,0.207
Jeffery Taylor,0.0,2022-03-31,0.026
Fabien Causeur,0.004,2022-03-31,0.01
Fabien Causeur,0.078,2022-04-03,0.15
Gabriel Deck,-0.081,2022-04-03,0.021
Jeffery Taylor,0.0,2022-04-03,0.015
Rudy Fernandez,0.002,2022-04-03,0.1
Gabriel Deck,0.129,2022-04-08,0.121
Fabien Causeur,0.103,2022-04-08,0.135
Jeffery Taylor,0.0,2022-04-08,0.066
Adam Hanga,0.3,2022-04-08,0.095
Alberto Abalde,0.168,2022-04-08,0.055
Rudy Fernandez,0.213,2022-04-08,0.052
Gabriel Deck,0.049,2022-04-10,0.142
Adam Hanga,0.08,2022-04-10,0.146
Alberto Abalde,0.051,2022-04-10,0.146
Jeffery Taylor,0.15,2022-04-10,0.034
Fabien Causeur,0.024,2022-04-10,0.028
Fabien Causeur,0.155,2022-04-13,0.143
Gabriel Deck,0.126,2022-04-13,0.121
Adam Hanga,0.091,2022-04-13,0.086
Jeffery Taylor,0.0,2022-04-13,0.021
Alberto Abalde,0.0,2022-04-13,0.005
Gabriel Deck,0.132,2022-04-17,0.124
Alberto Abalde,0.175,2022-04-17,0.126
Rudy Fernandez,0.004,2022-04-17,0.056
Fabien Causeur,0.068,2022-04-17,0.048
Fabien Causeur,0.271,2022-04-20,0.222
Rudy Fernandez,-0.224,2022-04-20,0.103
Adam Hanga,0.011,2022-04-20,0.082
Alberto Abalde,0.0,2022-04-20,0.053
Jeffery Taylor,0.0,2022-04-20,0.0
Adam Hanga,0.5,2022-04-22,0.107
Alberto Abalde,0.7,2022-04-22,0.1
Fabien Causeur,0.134,2022-04-22,0.075
Rudy Fernandez,0.186,2022-04-22,0.024
Adam Hanga,0.2,2022-04-24,0.129
Alberto Abalde,0.0,2022-04-24,0.118
Fabien Causeur,0.203,2022-04-24,0.034
Adam Hanga,0.276,2022-04-26,0.152
Alberto Abalde,0.0,2022-04-26,0.08
Fabien Causeur,0.062,2022-04-26,0.115
Rudy Fernandez,0.138,2022-04-26,0.077
