Player,Valoration,Game_Day,Stats_Valoration
Nigel Williams-Goss,-0.085,2021-12-14,0.146
Sergio Llull,0.0,2021-12-14,0.115
Juan Nunez,0.0,2021-12-14,0.064
Sergio Llull,0.0,2021-12-16,0.204
Nigel Williams-Goss,0.0,2021-12-16,0.078
Juan Nunez,0.0,2021-12-16,0.0
Nigel Williams-Goss,0.48,2021-12-19,0.228
Sergio Llull,-0.14,2021-12-19,0.087
Juan Nunez,0.071,2021-12-19,0.039
Carlos Alocen,0.0,2021-12-19,0.011
Nigel Williams-Goss,0.225,2021-12-23,0.296
Sergio Llull,0.021,2021-12-23,0.173
Thomas Heurtel,0.095,2022-01-09,0.158
Sergio Llull,0.035,2022-01-09,0.145
Nigel Williams-Goss,0.06,2022-01-09,0.048
Sergio Llull,0.19,2022-01-14,0.075
Thomas Heurtel,-0.88,2022-01-14,0.082
Nigel Williams-Goss,0.038,2022-01-14,0.018
Sergio Llull,-0.043,2022-01-23,0.092
Nigel Williams-Goss,0.0,2022-01-23,0.135
Thomas Heurtel,1.0,2022-01-23,0.089
Sergio Llull,0.0,2022-01-25,0.114
Thomas Heurtel,0.075,2022-01-25,0.116
Nigel Williams-Goss,0.0,2022-01-25,0.091
Carlos Alocen,0.233,2022-01-25,0.03
Thomas Heurtel,0.04,2022-01-28,0.206
Sergio Llull,-0.179,2022-01-28,0.045
Carlos Alocen,-0.185,2022-01-28,0.022
Thomas Heurtel,-0.011,2022-01-30,0.195
Carlos Alocen,0.0,2022-01-30,0.13
Thomas Heurtel,0.033,2022-02-02,0.194
Sergio Llull,0.031,2022-02-02,0.154
Nigel Williams-Goss,-0.67,2022-02-02,0.128
Sergio Llull,0.314,2022-02-04,0.09
Thomas Heurtel,-0.001,2022-02-04,0.167
Carlos Alocen,0.1,2022-02-04,0.027
Nigel Williams-Goss,0.0,2022-02-04,0.041
Sergio Llull,0.093,2022-02-06,0.129
Thomas Heurtel,0.122,2022-02-06,0.175
Nigel Williams-Goss,-0.16,2022-02-06,0.072
Carlos Alocen,0.0,2022-02-06,0.0
Sergio Llull,-0.09,2022-02-08,0.131
Carlos Alocen,0.364,2022-02-08,0.219
Juan Nunez,0.11,2022-02-08,0.062
Nigel Williams-Goss,0.36,2022-02-08,0.027
Sergio Llull,-0.172,2022-02-11,0.191
Nigel Williams-Goss,0.0,2022-02-11,0.073
Thomas Heurtel,-0.119,2022-02-11,0.11
Carlos Alocen,0.4,2022-02-11,0.013
Thomas Heurtel,0.048,2022-02-13,0.232
Sergio Llull,0.155,2022-02-13,0.074
Carlos Alocen,0.068,2022-02-13,0.027
Nigel Williams-Goss,0.0,2022-02-13,0.025
Nigel Williams-Goss,0.0,2022-02-17,0.053
Juan Nunez,0.062,2022-02-17,0.0
Thomas Heurtel,0.042,2022-02-17,0.315
Sergio Llull,0.01,2022-02-17,0.089
Thomas Heurtel,-0.028,2022-02-19,0.181
Sergio Llull,-0.065,2022-02-19,0.061
Thomas Heurtel,0.458,2022-02-20,0.13
Sergio Llull,0.089,2022-02-20,0.097
Sergio Llull,-0.004,2022-02-24,0.193
Nigel Williams-Goss,-0.067,2022-02-24,0.079
Juan Nunez,-0.029,2022-02-24,0.0
Thomas Heurtel,0.008,2022-03-06,0.242
Sergio Llull,-0.015,2022-03-06,0.072
Nigel Williams-Goss,0.0,2022-03-06,0.078
Sergio Llull,0.07,2022-03-08,0.161
Thomas Heurtel,-0.173,2022-03-08,0.131
Nigel Williams-Goss,0.1,2022-03-08,0.04
Sergio Llull,-0.023,2022-03-10,0.152
Nigel Williams-Goss,0.42,2022-03-10,0.141
Thomas Heurtel,-0.133,2022-03-10,0.105
Sergio Llull,-0.117,2022-03-13,0.065
Thomas Heurtel,0.0,2022-03-13,0.139
Juan Nunez,0.023,2022-03-13,0.035
Sergio Llull,0.216,2022-03-17,0.156
Thomas Heurtel,0.071,2022-03-17,0.17
Nigel Williams-Goss,0.0,2022-03-17,0.03
Juan Nunez,0.06,2022-03-17,0.0
Sergio Llull,-0.017,2022-03-20,0.165
Thomas Heurtel,-0.118,2022-03-20,0.053
Nigel Williams-Goss,-0.155,2022-03-20,0.045
Juan Nunez,0.028,2022-03-20,0.002
Nigel Williams-Goss,0.0,2022-03-22,0.18
Thomas Heurtel,-0.042,2022-03-22,0.065
Thomas Heurtel,0.149,2022-03-24,0.144
Nigel Williams-Goss,0.5,2022-03-24,0.109
Sergio Llull,-0.005,2022-03-24,0.068
Thomas Heurtel,0.454,2022-03-27,0.23
Nigel Williams-Goss,0.0,2022-03-27,0.024
Sergio Llull,0.0,2022-03-27,0.1
Juan Nunez,0.088,2022-03-27,0.0
Thomas Heurtel,0.295,2022-03-31,0.104
Sergio Llull,0.105,2022-03-31,0.199
Nigel Williams-Goss,0.09,2022-03-31,0.022
Sergio Llull,0.084,2022-04-03,0.102
Thomas Heurtel,0.777,2022-04-03,0.19
Nigel Williams-Goss,0.25,2022-04-03,0.09
Sergio Llull,-0.006,2022-04-08,0.132
Nigel Williams-Goss,0.33,2022-04-08,0.015
Sergio Llull,0.023,2022-04-10,0.131
Sergio Llull,0.297,2022-04-13,0.145
Nigel Williams-Goss,0.0,2022-04-13,0.085
Nigel Williams-Goss,0.1,2022-04-17,0.148
Sergio Llull,0.373,2022-04-17,0.129
Juan Nunez,0.077,2022-04-17,0.015
Nigel Williams-Goss,-0.055,2022-04-20,0.231
Sergio Llull,-0.038,2022-04-20,0.055
Sergio Llull,0.032,2022-04-22,0.144
Nigel Williams-Goss,0.253,2022-04-22,0.092
Juan Nunez,0.076,2022-04-22,0.064
Nigel Williams-Goss,0.125,2022-04-24,0.181
Sergio Llull,0.1,2022-04-24,0.102
Juan Nunez,-0.037,2022-04-24,0.043
Sergio Llull,0.097,2022-04-26,0.196
Nigel Williams-Goss,0.194,2022-04-26,0.068
