Player,Valoration,Game_Day,Stats_Valoration
Walter Tavares,0.038,2021-12-14,0.237
Vincent Poirier,-0.018,2021-12-14,0.125
Walter Tavares,0.016,2021-12-16,0.332
Vincent Poirier,0.025,2021-12-16,0.145
Vincent Poirier,0.139,2021-12-19,0.291
Walter Tavares,0.0,2021-12-19,0.123
Walter Tavares,0.137,2021-12-23,0.454
Walter Tavares,0.066,2022-01-09,0.267
Vincent Poirier,0.1,2022-01-09,0.109
Vincent Poirier,-1.0,2022-01-14,0.401
Walter Tavares,0.184,2022-01-23,0.166
Vincent Poirier,0.2,2022-01-23,0.112
Walter Tavares,0.186,2022-01-25,0.301
Vincent Poirier,0.0,2022-01-25,0.048
Vincent Poirier,0.115,2022-01-28,0.191
Walter Tavares,0.083,2022-01-28,0.257
Walter Tavares,0.087,2022-01-30,0.22
Vincent Poirier,0.0,2022-01-30,0.217
Walter Tavares,0.038,2022-02-02,0.343
Vincent Poirier,-0.269,2022-02-02,0.05
Vincent Poirier,0.075,2022-02-04,0.168
Walter Tavares,0.117,2022-02-04,0.35
Walter Tavares,0.055,2022-02-06,0.144
Vincent Poirier,0.25,2022-02-06,0.295
Walter Tavares,-0.047,2022-02-08,0.479
Vincent Poirier,0.0,2022-02-08,0.046
Walter Tavares,0.0,2022-02-11,0.162
Vincent Poirier,0.5,2022-02-11,0.07
Vincent Poirier,0.0,2022-02-13,0.254
Walter Tavares,0.0,2022-02-13,0.234
Vincent Poirier,0.0,2022-02-17,0.02
Walter Tavares,0.056,2022-02-17,0.437
Vincent Poirier,0.0,2022-02-19,0.142
Walter Tavares,0.112,2022-02-19,0.197
Vincent Poirier,0.029,2022-02-20,0.144
Walter Tavares,0.002,2022-02-20,0.175
Walter Tavares,0.097,2022-02-24,0.495
Vincent Poirier,0.0,2022-02-24,0.085
Walter Tavares,0.085,2022-03-06,0.224
Vincent Poirier,0.0,2022-03-06,0.094
Walter Tavares,0.074,2022-03-08,0.159
Vincent Poirier,0.0,2022-03-08,0.144
Walter Tavares,0.046,2022-03-10,0.136
Vincent Poirier,0.0,2022-03-10,0.329
Vincent Poirier,0.09,2022-03-13,0.217
Walter Tavares,0.17,2022-03-13,0.14
Vincent Poirier,0.0,2022-03-17,0.145
Walter Tavares,0.097,2022-03-17,0.128
Walter Tavares,0.047,2022-03-20,0.414
Vincent Poirier,0.0,2022-03-20,0.047
Vincent Poirier,0.0,2022-03-22,0.158
Walter Tavares,0.047,2022-03-22,0.2
Vincent Poirier,0.7,2022-03-24,0.083
Walter Tavares,-0.008,2022-03-24,0.255
Walter Tavares,0.065,2022-03-27,0.213
Vincent Poirier,-0.17,2022-03-27,0.233
Walter Tavares,0.115,2022-03-31,0.352
Vincent Poirier,0.0,2022-03-31,0.012
Walter Tavares,0.12,2022-04-03,0.373
Vincent Poirier,0.0,2022-04-03,0.07
Walter Tavares,0.054,2022-04-08,0.067
Vincent Poirier,0.0,2022-04-08,0.302
Vincent Poirier,0.001,2022-04-10,0.197
Walter Tavares,0.082,2022-04-10,0.174
Walter Tavares,0.096,2022-04-13,0.274
Vincent Poirier,0.0,2022-04-13,0.195
Walter Tavares,0.067,2022-04-17,0.185
Vincent Poirier,0.0,2022-04-17,0.191
Walter Tavares,0.128,2022-04-20,0.221
Vincent Poirier,0.0,2022-04-20,0.133
Vincent Poirier,0.139,2022-04-22,0.269
Walter Tavares,0.153,2022-04-22,0.266
Walter Tavares,0.005,2022-04-24,0.32
Vincent Poirier,0.0,2022-04-24,0.102
Vincent Poirier,0.22,2022-04-26,0.179
Walter Tavares,0.202,2022-04-26,0.14
