Player,Valoration,Game_Day
Walter Tavares,0.038,2021-12-14
Rudy Fernandez,0.105,2021-12-14
Anthony Randolph,0.118,2021-12-14
Nigel Williams-Goss,-0.085,2021-12-14
Adam Hanga,0,2021-12-14
Sergio Llull,0,2021-12-14
Juan Nunez,0,2021-12-14
Jeffery Taylor,0,2021-12-14
Vincent Poirier,-0.018,2021-12-14
Fabien Causeur,0,2021-12-14
Tristan Vukcevic,0,2021-12-14
Fabien Causeur,0.124,2021-12-16
Guerschon Yabusele,0.307,2021-12-16
Sergio Llull,0,2021-12-16
Rudy Fernandez,0.142,2021-12-16
Walter Tavares,0.016,2021-12-16
Nigel Williams-Goss,0,2021-12-16
Adam Hanga,0.235,2021-12-16
Anthony Randolph,0,2021-12-16
Vincent Poirier,0.025,2021-12-16
Jeffery Taylor,0,2021-12-16
Juan Nunez,0,2021-12-16
Vincent Poirier,0.139,2021-12-19
Nigel Williams-Goss,0.48,2021-12-19
Sergio Llull,-0.14,2021-12-19
Guerschon Yabusele,0.013,2021-12-19
Walter Tavares,0,2021-12-19
Rudy Fernandez,0.049,2021-12-19
Adam Hanga,0,2021-12-19
Jeffery Taylor,0,2021-12-19
Anthony Randolph,0,2021-12-19
Juan Nunez,0.071,2021-12-19
Carlos Alocen,0,2021-12-19
Nigel Williams-Goss,0.225,2021-12-23
Walter Tavares,0.137,2021-12-23
Urban Klavzar,0.169,2021-12-23
Sergio Llull,0.021,2021-12-23
Rudy Fernandez,0.176,2021-12-23
Tristan Vukcevic,0,2021-12-23
Jeffery Taylor,0,2021-12-23
Sediq Garuba,0.1426,2021-12-23
Baba Miller,0.113,2021-12-23
Thomas Heurtel,0.095,2022-01-09
Guerschon Yabusele,0.209,2022-01-09
Sergio Llull,0.035,2022-01-09
Jeffery Taylor,-0.07,2022-01-09
Walter Tavares,0.066,2022-01-09
Adam Hanga,0.017,2022-01-09
Nigel Williams-Goss,0.06,2022-01-09
Vincent Poirier,0.1,2022-01-09
Alberto Abalde,0.05,2022-01-09
Fabien Causeur,0.032,2022-01-09
Anthony Randolph,0.018,2022-01-09
Rudy Fernandez,0.129,2022-01-09
Guerschon Yabusele,0.152,2022-01-14
Alberto Abalde,-0.067,2022-01-14
Anthony Randolph,0.148,2022-01-14
Vincent Poirier,-1,2022-01-14
Jeffery Taylor,-0.105,2022-01-14
Trey Thompkins,0.137,2022-01-14
Fabien Causeur,0.085,2022-01-14
Sergio Llull,0.19,2022-01-14
Thomas Heurtel,-0.88,2022-01-14
Adam Hanga,0,2022-01-14
Nigel Williams-Goss,0.038,2022-01-14
Walter Tavares,0.184,2022-01-23
Sergio Llull,-0.043,2022-01-23
Vincent Poirier,0.2,2022-01-23
Alberto Abalde,-0.029,2022-01-23
Jeffery Taylor,-0.2,2022-01-23
Guerschon Yabusele,0.086,2022-01-23
Nigel Williams-Goss,0,2022-01-23
Gabriel Deck,0.287,2022-01-23
Thomas Heurtel,1,2022-01-23
Adam Hanga,0.7,2022-01-23
Rudy Fernandez,-0.045,2022-01-23
Anthony Randolph,0.32,2022-01-23
Walter Tavares,0.186,2022-01-25
Guerschon Yabusele,0.116,2022-01-25
Alberto Abalde,0.169,2022-01-25
Sergio Llull,0,2022-01-25
Rudy Fernandez,-0.117,2022-01-25
Thomas Heurtel,0.075,2022-01-25
Nigel Williams-Goss,0,2022-01-25
Vincent Poirier,0,2022-01-25
Trey Thompkins,0,2022-01-25
Jeffery Taylor,0.16,2022-01-25
Anthony Randolph,0.25,2022-01-25
Carlos Alocen,0.233,2022-01-25
Guerschon Yabusele,0.129,2022-01-28
Vincent Poirier,0.115,2022-01-28
Thomas Heurtel,0.04,2022-01-28
Trey Thompkins,0,2022-01-28
Sergio Llull,-0.179,2022-01-28
Walter Tavares,0.083,2022-01-28
Gabriel Deck,0.13,2022-01-28
Rudy Fernandez,0.135,2022-01-28
Alberto Abalde,0,2022-01-28
Jeffery Taylor,-0.2,2022-01-28
Carlos Alocen,-0.185,2022-01-28
Anthony Randolph,0.23,2022-01-28
Fabien Causeur,0.137,2022-01-30
Gabriel Deck,0.338,2022-01-30
Anthony Randolph,0.563,2022-01-30
Thomas Heurtel,-0.011,2022-01-30
Walter Tavares,0.087,2022-01-30
Trey Thompkins,0,2022-01-30
Alberto Abalde,0,2022-01-30
Guerschon Yabusele,0.144,2022-01-30
Vincent Poirier,0,2022-01-30
Carlos Alocen,0,2022-01-30
Jeffery Taylor,0,2022-01-30
Thomas Heurtel,0.033,2022-02-02
Walter Tavares,0.038,2022-02-02
Guerschon Yabusele,0.081,2022-02-02
Sergio Llull,0.031,2022-02-02
Rudy Fernandez,-0.003,2022-02-02
Nigel Williams-Goss,-0.67,2022-02-02
Fabien Causeur,0.108,2022-02-02
Vincent Poirier,-0.269,2022-02-02
Alberto Abalde,0,2022-02-02
Anthony Randolph,0,2022-02-02
Guerschon Yabusele,0.149,2022-02-04
Sergio Llull,0.314,2022-02-04
Trey Thompkins,0,2022-02-04
Vincent Poirier,0.075,2022-02-04
Fabien Causeur,0.145,2022-02-04
Rudy Fernandez,-0.094,2022-02-04
Walter Tavares,0.117,2022-02-04
Thomas Heurtel,-0.001,2022-02-04
Alberto Abalde,-0.083,2022-02-04
Carlos Alocen,0.1,2022-02-04
Nigel Williams-Goss,0,2022-02-04
Sergio Llull,0.093,2022-02-06
Rudy Fernandez,0.165,2022-02-06
Guerschon Yabusele,0.027,2022-02-06
Thomas Heurtel,0.122,2022-02-06
Walter Tavares,0.055,2022-02-06
Vincent Poirier,0.25,2022-02-06
Nigel Williams-Goss,-0.16,2022-02-06
Fabien Causeur,0.13,2022-02-06
Alberto Abalde,0,2022-02-06
Carlos Alocen,0,2022-02-06
Anthony Randolph,0.11,2022-02-06
Walter Tavares,-0.047,2022-02-08
Sergio Llull,-0.09,2022-02-08
Rudy Fernandez,0,2022-02-08
Carlos Alocen,0.364,2022-02-08
Trey Thompkins,0,2022-02-08
Juan Nunez,0.11,2022-02-08
Nigel Williams-Goss,0.36,2022-02-08
Vincent Poirier,0,2022-02-08
Fabien Causeur,0.044,2022-02-08
Guerschon Yabusele,-0.062,2022-02-08
Anthony Randolph,0,2022-02-08
Alberto Abalde,0.41,2022-02-08
Walter Tavares,0,2022-02-11
Sergio Llull,-0.172,2022-02-11
Fabien Causeur,0.183,2022-02-11
Alberto Abalde,0.067,2022-02-11
Nigel Williams-Goss,0,2022-02-11
Guerschon Yabusele,-0.005,2022-02-11
Thomas Heurtel,-0.119,2022-02-11
Adam Hanga,-0.277,2022-02-11
Vincent Poirier,0.5,2022-02-11
Carlos Alocen,0.4,2022-02-11
Anthony Randolph,0,2022-02-11
Trey Thompkins,0,2022-02-11
Thomas Heurtel,0.048,2022-02-13
Fabien Causeur,0.013,2022-02-13
Vincent Poirier,0,2022-02-13
Alberto Abalde,-0.001,2022-02-13
Sergio Llull,0.155,2022-02-13
Guerschon Yabusele,0.045,2022-02-13
Adam Hanga,0.023,2022-02-13
Walter Tavares,0,2022-02-13
Carlos Alocen,0.068,2022-02-13
Nigel Williams-Goss,0,2022-02-13
Trey Thompkins,0,2022-02-13
Nigel Williams-Goss,0,2022-02-17
Fabien Causeur,-0.059,2022-02-17
Juan Nunez,0.062,2022-02-17
Thomas Heurtel,0.042,2022-02-17
Alberto Abalde,0.273,2022-02-17
Adam Hanga,0.41,2022-02-17
Vincent Poirier,0,2022-02-17
Walter Tavares,0.056,2022-02-17
Sergio Llull,0.01,2022-02-17
Guerschon Yabusele,0.14,2022-02-17
Trey Thompkins,0,2022-02-17
Jeffery Taylor,0,2022-02-17
Fabien Causeur,0.239,2022-02-19
Thomas Heurtel,-0.028,2022-02-19
Rudy Fernandez,0.154,2022-02-19
Alberto Abalde,0.196,2022-02-19
Adam Hanga,0,2022-02-19
Gabriel Deck,0.0,2022-02-19
Vincent Poirier,0,2022-02-19
Walter Tavares,0.112,2022-02-19
Sergio Llull,-0.065,2022-02-19
Guerschon Yabusele,0.109,2022-02-19
Trey Thompkins,0,2022-02-19
Jeffery Taylor,0.059,2022-02-19
Thomas Heurtel,0.458,2022-02-20
Rudy Fernandez,0.078,2022-02-20
Alberto Abalde,0.445,2022-02-20
Adam Hanga,0.013,2022-02-20
Gabriel Deck,0.12,2022-02-20
Vincent Poirier,0.029,2022-02-20
Walter Tavares,0.002,2022-02-20
Sergio Llull,0.089,2022-02-20
Guerschon Yabusele,0.285,2022-02-20
Trey Thompkins,0,2022-02-20
Jeffery Taylor,0.268,2022-02-20
Walter Tavares,0.097,2022-02-24
Vincent Poirier,0,2022-02-24
Trey Thompkins,0.2,2022-02-24
Sergio Llull,-0.004,2022-02-24
Gabriel Deck,0.042,2022-02-24
Alberto Abalde,0.215,2022-02-24
Guerschon Yabusele,-0.016,2022-02-24
Adam Hanga,0.4,2022-02-24
Anthony Randolph,0,2022-02-24
Jeffery Taylor,0,2022-02-24
Nigel Williams-Goss,-0.067,2022-02-24
Juan Nunez,-0.029,2022-02-24
Walter Tavares,0.085,2022-03-06
Thomas Heurtel,0.008,2022-03-06
Rudy Fernandez,-0.023,2022-03-06
Gabriel Deck,0.201,2022-03-06
Sergio Llull,-0.015,2022-03-06
Adam Hanga,0.05,2022-03-06
Guerschon Yabusele,0.002,2022-03-06
Anthony Randolph,0,2022-03-06
