,Player,Valoration,Game_Day
2,Anthony Randolph,0.118,2021-12-14
12,Guerschon Yabusele,0.307,2021-12-16
18,Anthony Randolph,0.0,2021-12-16
25,Guerschon Yabusele,0.013,2021-12-19
30,Anthony Randolph,0.0,2021-12-19
43,Guerschon Yabusele,0.209,2022-01-09
52,Anthony Randolph,0.018,2022-01-09
54,Guerschon Yabusele,0.152,2022-01-14
56,Anthony Randolph,0.148,2022-01-14
59,Trey Thompkins,0.137,2022-01-14
70,Guerschon Yabusele,0.086,2022-01-23
76,Anthony Randolph,0.32,2022-01-23
78,Guerschon Yabusele,0.116,2022-01-25
85,Trey Thompkins,0.0,2022-01-25
87,Anthony Randolph,0.25,2022-01-25
89,Guerschon Yabusele,0.129,2022-01-28
92,Trey Thompkins,0.0,2022-01-28
100,Anthony Randolph,0.23,2022-01-28
103,Anthony Randolph,0.563,2022-01-30
106,Trey Thompkins,0.0,2022-01-30
108,Guerschon Yabusele,0.144,2022-01-30
114,Guerschon Yabusele,0.081,2022-02-02
121,Anthony Randolph,0.0,2022-02-02
122,Guerschon Yabusele,0.149,2022-02-04
124,Trey Thompkins,0.0,2022-02-04
135,Guerschon Yabusele,0.027,2022-02-06
143,Anthony Randolph,0.11,2022-02-06
148,Trey Thompkins,0.0,2022-02-08
153,Guerschon Yabusele,-0.062,2022-02-08
154,Anthony Randolph,0.0,2022-02-08
161,Guerschon Yabusele,-0.005,2022-02-11
166,Anthony Randolph,0.0,2022-02-11
167,Trey Thompkins,0.0,2022-02-11
173,Guerschon Yabusele,0.045,2022-02-13
178,Trey Thompkins,0.0,2022-02-13
188,Guerschon Yabusele,0.14,2022-02-17
189,Trey Thompkins,0.0,2022-02-17
200,Guerschon Yabusele,0.109,2022-02-19
201,Trey Thompkins,0.0,2022-02-19
211,Guerschon Yabusele,0.285,2022-02-20
212,Trey Thompkins,0.0,2022-02-20
216,Trey Thompkins,0.2,2022-02-24
220,Guerschon Yabusele,-0.016,2022-02-24
222,Anthony Randolph,0.0,2022-02-24
232,Guerschon Yabusele,0.002,2022-03-06
233,Anthony Randolph,0.0,2022-03-06
240,Guerschon Yabusele,-0.018,2022-03-08
241,Trey Thompkins,0.0,2022-03-08
249,Guerschon Yabusele,0.21,2022-03-10
255,Trey Thompkins,0.0,2022-03-10
259,Guerschon Yabusele,0.145,2022-03-13
262,Anthony Randolph,-0.265,2022-03-13
270,Guerschon Yabusele,-0.034,2022-03-17
277,Anthony Randolph,0.0,2022-03-17
281,Guerschon Yabusele,0.111,2022-03-20
286,Anthony Randolph,0.0,2022-03-20
291,Guerschon Yabusele,0.074,2022-03-22
298,Trey Thompkins,0.11,2022-03-22
299,Anthony Randolph,0.0,2022-03-22
300,Guerschon Yabusele,0.12,2022-03-24
309,Trey Thompkins,-0.287,2022-03-24
313,Guerschon Yabusele,0.11,2022-03-27
327,Trey Thompkins,0.0,2022-03-31
331,Guerschon Yabusele,0.36,2022-03-31
334,Guerschon Yabusele,0.003,2022-04-03
345,Guerschon Yabusele,0.022,2022-04-08
351,Anthony Randolph,0.155,2022-04-08
358,Guerschon Yabusele,0.045,2022-04-10
362,Anthony Randolph,0.0,2022-04-10
368,Anthony Randolph,0.0,2022-04-13
371,Guerschon Yabusele,0.052,2022-04-13
379,Guerschon Yabusele,0.238,2022-04-17
380,Anthony Randolph,0.039,2022-04-17
388,Guerschon Yabusele,0.266,2022-04-20
394,Anthony Randolph,-0.3,2022-04-20
400,Guerschon Yabusele,0.14,2022-04-22
406,Anthony Randolph,0.0,2022-04-22
409,Guerschon Yabusele,0.086,2022-04-24
416,Anthony Randolph,0.0,2022-04-24
420,Guerschon Yabusele,0.131,2022-04-26
428,Anthony Randolph,0.0,2022-04-26
