,Player,Valoration,Game_Day
1,Rudy Fernandez,0.105,2021-12-14
4,Adam Hanga,0.0,2021-12-14
7,Jeffery Taylor,0.0,2021-12-14
9,Fabien Causeur,0.0,2021-12-14
11,Fabien Causeur,0.124,2021-12-16
14,Rudy Fernandez,0.142,2021-12-16
17,Adam Hanga,0.235,2021-12-16
20,Jeffery Taylor,0.0,2021-12-16
27,Rudy Fernandez,0.049,2021-12-19
28,Adam Hanga,0.0,2021-12-19
29,Jeffery Taylor,0.0,2021-12-19
37,Rudy Fernandez,0.176,2021-12-23
39,Jeffery Taylor,0.0,2021-12-23
45,Jeffery Taylor,-0.07,2022-01-09
47,Adam Hanga,0.017,2022-01-09
50,Alberto Abalde,0.05,2022-01-09
51,Fabien Causeur,0.032,2022-01-09
53,Rudy Fernandez,0.129,2022-01-09
55,Alberto Abalde,-0.067,2022-01-14
58,Jeffery Taylor,-0.105,2022-01-14
60,Fabien Causeur,0.085,2022-01-14
63,Adam Hanga,0.0,2022-01-14
68,Alberto Abalde,-0.029,2022-01-23
69,Jeffery Taylor,-0.2,2022-01-23
72,Gabriel Deck,0.287,2022-01-23
74,Adam Hanga,0.7,2022-01-23
75,Rudy Fernandez,-0.045,2022-01-23
79,Alberto Abalde,0.169,2022-01-25
81,Rudy Fernandez,-0.117,2022-01-25
86,Jeffery Taylor,0.16,2022-01-25
95,Gabriel Deck,0.13,2022-01-28
96,Rudy Fernandez,0.135,2022-01-28
97,Alberto Abalde,0.0,2022-01-28
98,Jeffery Taylor,-0.2,2022-01-28
101,Fabien Causeur,0.137,2022-01-30
102,Gabriel Deck,0.338,2022-01-30
107,Alberto Abalde,0.0,2022-01-30
111,Jeffery Taylor,0.0,2022-01-30
116,Rudy Fernandez,-0.003,2022-02-02
118,Fabien Causeur,0.108,2022-02-02
120,Alberto Abalde,0.0,2022-02-02
126,Fabien Causeur,0.145,2022-02-04
127,Rudy Fernandez,-0.094,2022-02-04
130,Alberto Abalde,-0.083,2022-02-04
134,Rudy Fernandez,0.165,2022-02-06
140,Fabien Causeur,0.13,2022-02-06
141,Alberto Abalde,0.0,2022-02-06
146,Rudy Fernandez,0.0,2022-02-08
152,Fabien Causeur,0.044,2022-02-08
155,Alberto Abalde,0.41,2022-02-08
158,Fabien Causeur,0.183,2022-02-11
159,Alberto Abalde,0.067,2022-02-11
163,Adam Hanga,-0.277,2022-02-11
169,Fabien Causeur,0.013,2022-02-13
171,Alberto Abalde,-0.001,2022-02-13
174,Adam Hanga,0.023,2022-02-13
180,Fabien Causeur,-0.059,2022-02-17
183,Alberto Abalde,0.273,2022-02-17
184,Adam Hanga,0.41,2022-02-17
190,Jeffery Taylor,0.0,2022-02-17
191,Fabien Causeur,0.239,2022-02-19
193,Rudy Fernandez,0.154,2022-02-19
194,Alberto Abalde,0.196,2022-02-19
195,Adam Hanga,0.0,2022-02-19
196,Gabriel Deck,0.0,2022-02-19
202,Jeffery Taylor,0.059,2022-02-19
204,Rudy Fernandez,0.078,2022-02-20
205,Alberto Abalde,0.445,2022-02-20
206,Adam Hanga,0.013,2022-02-20
207,Gabriel Deck,0.12,2022-02-20
213,Jeffery Taylor,0.268,2022-02-20
218,Gabriel Deck,0.042,2022-02-24
219,Alberto Abalde,0.215,2022-02-24
221,Adam Hanga,0.4,2022-02-24
223,Jeffery Taylor,0.0,2022-02-24
228,Rudy Fernandez,-0.023,2022-03-06
229,Gabriel Deck,0.201,2022-03-06
231,Adam Hanga,0.05,2022-03-06
235,Jeffery Taylor,0.0,2022-03-06
237,Alberto Abalde,0.0,2022-03-06
242,Alberto Abalde,0.8,2022-03-08
243,Adam Hanga,-0.05,2022-03-08
247,Rudy Fernandez,0.042,2022-03-08
250,Gabriel Deck,0.141,2022-03-10
256,Alberto Abalde,0.05,2022-03-10
257,Rudy Fernandez,0.035,2022-03-10
258,Adam Hanga,0.441,2022-03-10
260,Alberto Abalde,0.115,2022-03-13
263,Gabriel Deck,0.109,2022-03-13
264,Adam Hanga,0.0,2022-03-13
269,Rudy Fernandez,0.096,2022-03-17
273,Gabriel Deck,0.082,2022-03-17
276,Adam Hanga,0.0,2022-03-17
280,Gabriel Deck,0.09,2022-03-20
282,Rudy Fernandez,0.16,2022-03-20
290,Gabriel Deck,0.161,2022-03-22
292,Adam Hanga,0.11,2022-03-22
295,Rudy Fernandez,-0.007,2022-03-22
303,Gabriel Deck,0.002,2022-03-24
304,Adam Hanga,0.049,2022-03-24
308,Rudy Fernandez,0.0,2022-03-24
311,Gabriel Deck,0.192,2022-03-27
315,Jeffery Taylor,0.0,2022-03-27
316,Adam Hanga,0.0,2022-03-27
318,Rudy Fernandez,-0.025,2022-03-27
319,Fabien Causeur,0.15,2022-03-27
325,Gabriel Deck,0.028,2022-03-31
326,Rudy Fernandez,0.076,2022-03-31
329,Jeffery Taylor,0.0,2022-03-31
330,Fabien Causeur,0.004,2022-03-31
335,Fabien Causeur,0.078,2022-04-03
340,Gabriel Deck,-0.081,2022-04-03
341,Jeffery Taylor,0.0,2022-04-03
342,Rudy Fernandez,0.002,2022-04-03
343,Gabriel Deck,0.129,2022-04-08
344,Fabien Causeur,0.103,2022-04-08
348,Jeffery Taylor,0.0,2022-04-08
349,Adam Hanga,0.3,2022-04-08
350,Alberto Abalde,0.168,2022-04-08
352,Rudy Fernandez,0.213,2022-04-08
355,Gabriel Deck,0.049,2022-04-10
359,Adam Hanga,0.08,2022-04-10
361,Alberto Abalde,0.051,2022-04-10
363,Jeffery Taylor,0.15,2022-04-10
364,Fabien Causeur,0.024,2022-04-10
366,Fabien Causeur,0.155,2022-04-13
367,Gabriel Deck,0.126,2022-04-13
370,Adam Hanga,0.091,2022-04-13
373,Jeffery Taylor,0.0,2022-04-13
375,Alberto Abalde,0.0,2022-04-13
376,Gabriel Deck,0.132,2022-04-17
381,Alberto Abalde,0.175,2022-04-17
383,Rudy Fernandez,0.004,2022-04-17
384,Fabien Causeur,0.068,2022-04-17
387,Fabien Causeur,0.271,2022-04-20
389,Rudy Fernandez,-0.224,2022-04-20
391,Adam Hanga,0.011,2022-04-20
392,Alberto Abalde,0.0,2022-04-20
397,Jeffery Taylor,0.0,2022-04-20
401,Adam Hanga,0.5,2022-04-22
404,Alberto Abalde,0.7,2022-04-22
405,Fabien Causeur,0.134,2022-04-22
407,Rudy Fernandez,0.186,2022-04-22
413,Adam Hanga,0.2,2022-04-24
414,Alberto Abalde,0.0,2022-04-24
418,Fabien Causeur,0.203,2022-04-24
424,Adam Hanga,0.276,2022-04-26
425,Alberto Abalde,0.0,2022-04-26
426,Fabien Causeur,0.062,2022-04-26
427,Rudy Fernandez,0.138,2022-04-26
