,Player,Valoration,Game_Day
3,Nigel Williams-Goss,-0.085,2021-12-14
5,Sergio Llull,0.0,2021-12-14
6,Juan Nunez,0.0,2021-12-14
13,Sergio Llull,0.0,2021-12-16
16,Nigel Williams-Goss,0.0,2021-12-16
21,Juan Nunez,0.0,2021-12-16
23,Nigel Williams-Goss,0.48,2021-12-19
24,Sergio Llull,-0.14,2021-12-19
31,Juan Nunez,0.071,2021-12-19
32,Carlos Alocen,0.0,2021-12-19
33,Nigel Williams-Goss,0.225,2021-12-23
36,Sergio Llull,0.021,2021-12-23
42,Thomas Heurtel,0.095,2022-01-09
44,Sergio Llull,0.035,2022-01-09
48,Nigel Williams-Goss,0.06,2022-01-09
61,Sergio Llull,0.19,2022-01-14
62,Thomas Heurtel,-0.88,2022-01-14
64,Nigel Williams-Goss,0.038,2022-01-14
66,Sergio Llull,-0.043,2022-01-23
71,Nigel Williams-Goss,0.0,2022-01-23
73,Thomas Heurtel,1.0,2022-01-23
80,Sergio Llull,0.0,2022-01-25
82,Thomas Heurtel,0.075,2022-01-25
83,Nigel Williams-Goss,0.0,2022-01-25
88,Carlos Alocen,0.233,2022-01-25
91,Thomas Heurtel,0.04,2022-01-28
93,Sergio Llull,-0.179,2022-01-28
99,Carlos Alocen,-0.185,2022-01-28
104,Thomas Heurtel,-0.011,2022-01-30
110,Carlos Alocen,0.0,2022-01-30
112,Thomas Heurtel,0.033,2022-02-02
115,Sergio Llull,0.031,2022-02-02
117,Nigel Williams-Goss,-0.67,2022-02-02
123,Sergio Llull,0.314,2022-02-04
129,Thomas Heurtel,-0.001,2022-02-04
131,Carlos Alocen,0.1,2022-02-04
132,Nigel Williams-Goss,0.0,2022-02-04
133,Sergio Llull,0.093,2022-02-06
136,Thomas Heurtel,0.122,2022-02-06
139,Nigel Williams-Goss,-0.16,2022-02-06
142,Carlos Alocen,0.0,2022-02-06
145,Sergio Llull,-0.09,2022-02-08
147,Carlos Alocen,0.364,2022-02-08
149,Juan Nunez,0.11,2022-02-08
150,Nigel Williams-Goss,0.36,2022-02-08
157,Sergio Llull,-0.172,2022-02-11
160,Nigel Williams-Goss,0.0,2022-02-11
162,Thomas Heurtel,-0.119,2022-02-11
165,Carlos Alocen,0.4,2022-02-11
168,Thomas Heurtel,0.048,2022-02-13
172,Sergio Llull,0.155,2022-02-13
176,Carlos Alocen,0.068,2022-02-13
177,Nigel Williams-Goss,0.0,2022-02-13
179,Nigel Williams-Goss,0.0,2022-02-17
181,Juan Nunez,0.062,2022-02-17
182,Thomas Heurtel,0.042,2022-02-17
187,Sergio Llull,0.01,2022-02-17
192,Thomas Heurtel,-0.028,2022-02-19
199,Sergio Llull,-0.065,2022-02-19
203,Thomas Heurtel,0.458,2022-02-20
210,Sergio Llull,0.089,2022-02-20
217,Sergio Llull,-0.004,2022-02-24
224,Nigel Williams-Goss,-0.067,2022-02-24
225,Juan Nunez,-0.029,2022-02-24
227,Thomas Heurtel,0.008,2022-03-06
230,Sergio Llull,-0.015,2022-03-06
234,Nigel Williams-Goss,0.0,2022-03-06
238,Sergio Llull,0.07,2022-03-08
245,Thomas Heurtel,-0.173,2022-03-08
246,Nigel Williams-Goss,0.1,2022-03-08
248,Sergio Llull,-0.023,2022-03-10
251,Nigel Williams-Goss,0.42,2022-03-10
252,Thomas Heurtel,-0.133,2022-03-10
266,Sergio Llull,-0.117,2022-03-13
267,Thomas Heurtel,0.0,2022-03-13
268,Juan Nunez,0.023,2022-03-13
272,Sergio Llull,0.216,2022-03-17
275,Thomas Heurtel,0.071,2022-03-17
278,Nigel Williams-Goss,0.0,2022-03-17
279,Juan Nunez,0.06,2022-03-17
285,Sergio Llull,-0.017,2022-03-20
287,Thomas Heurtel,-0.118,2022-03-20
288,Nigel Williams-Goss,-0.155,2022-03-20
289,Juan Nunez,0.028,2022-03-20
293,Nigel Williams-Goss,0.0,2022-03-22
297,Thomas Heurtel,-0.042,2022-03-22
302,Thomas Heurtel,0.149,2022-03-24
305,Nigel Williams-Goss,0.5,2022-03-24
307,Sergio Llull,-0.005,2022-03-24
310,Thomas Heurtel,0.454,2022-03-27
317,Nigel Williams-Goss,0.0,2022-03-27
320,Sergio Llull,0.0,2022-03-27
321,Juan Nunez,0.088,2022-03-27
322,Thomas Heurtel,0.295,2022-03-31
323,Sergio Llull,0.105,2022-03-31
332,Nigel Williams-Goss,0.09,2022-03-31
333,Sergio Llull,0.084,2022-04-03
337,Thomas Heurtel,0.777,2022-04-03
338,Nigel Williams-Goss,0.25,2022-04-03
346,Sergio Llull,-0.006,2022-04-08
353,Nigel Williams-Goss,0.33,2022-04-08
360,Sergio Llull,0.023,2022-04-10
365,Sergio Llull,0.297,2022-04-13
372,Nigel Williams-Goss,0.0,2022-04-13
377,Nigel Williams-Goss,0.1,2022-04-17
385,Sergio Llull,0.373,2022-04-17
386,Juan Nunez,0.077,2022-04-17
390,Nigel Williams-Goss,-0.055,2022-04-20
396,Sergio Llull,-0.038,2022-04-20
398,Sergio Llull,0.032,2022-04-22
402,Nigel Williams-Goss,0.253,2022-04-22
408,Juan Nunez,0.076,2022-04-22
410,Nigel Williams-Goss,0.125,2022-04-24
412,Sergio Llull,0.1,2022-04-24
417,Juan Nunez,-0.037,2022-04-24
419,Sergio Llull,0.097,2022-04-26
423,Nigel Williams-Goss,0.194,2022-04-26
