,Player,Valoration,Game_Day
0,Walter Tavares,0.038,2021-12-14
8,Vincent Poirier,-0.018,2021-12-14
15,Walter Tavares,0.016,2021-12-16
19,Vincent Poirier,0.025,2021-12-16
22,Vincent Poirier,0.139,2021-12-19
26,Walter Tavares,0.0,2021-12-19
34,Walter Tavares,0.137,2021-12-23
46,Walter Tavares,0.066,2022-01-09
49,Vincent Poirier,0.1,2022-01-09
57,Vincent Poirier,-1.0,2022-01-14
65,Walter Tavares,0.184,2022-01-23
67,Vincent Poirier,0.2,2022-01-23
77,Walter Tavares,0.186,2022-01-25
84,Vincent Poirier,0.0,2022-01-25
90,Vincent Poirier,0.115,2022-01-28
94,Walter Tavares,0.083,2022-01-28
105,Walter Tavares,0.087,2022-01-30
109,Vincent Poirier,0.0,2022-01-30
113,Walter Tavares,0.038,2022-02-02
119,Vincent Poirier,-0.269,2022-02-02
125,Vincent Poirier,0.075,2022-02-04
128,Walter Tavares,0.117,2022-02-04
137,Walter Tavares,0.055,2022-02-06
138,Vincent Poirier,0.25,2022-02-06
144,Walter Tavares,-0.047,2022-02-08
151,Vincent Poirier,0.0,2022-02-08
156,Walter Tavares,0.0,2022-02-11
164,Vincent Poirier,0.5,2022-02-11
170,Vincent Poirier,0.0,2022-02-13
175,Walter Tavares,0.0,2022-02-13
185,Vincent Poirier,0.0,2022-02-17
186,Walter Tavares,0.056,2022-02-17
197,Vincent Poirier,0.0,2022-02-19
198,Walter Tavares,0.112,2022-02-19
208,Vincent Poirier,0.029,2022-02-20
209,Walter Tavares,0.002,2022-02-20
214,Walter Tavares,0.097,2022-02-24
215,Vincent Poirier,0.0,2022-02-24
226,Walter Tavares,0.085,2022-03-06
236,Vincent Poirier,0.0,2022-03-06
239,Walter Tavares,0.074,2022-03-08
244,Vincent Poirier,0.0,2022-03-08
253,Walter Tavares,0.046,2022-03-10
254,Vincent Poirier,0.0,2022-03-10
261,Vincent Poirier,0.09,2022-03-13
265,Walter Tavares,0.17,2022-03-13
271,Vincent Poirier,0.0,2022-03-17
274,Walter Tavares,0.097,2022-03-17
283,Walter Tavares,0.047,2022-03-20
284,Vincent Poirier,0.0,2022-03-20
294,Vincent Poirier,0.0,2022-03-22
296,Walter Tavares,0.047,2022-03-22
301,Vincent Poirier,0.7,2022-03-24
306,Walter Tavares,-0.008,2022-03-24
312,Walter Tavares,0.065,2022-03-27
314,Vincent Poirier,-0.17,2022-03-27
324,Walter Tavares,0.115,2022-03-31
328,Vincent Poirier,0.0,2022-03-31
336,Walter Tavares,0.12,2022-04-03
339,Vincent Poirier,0.0,2022-04-03
347,Walter Tavares,0.054,2022-04-08
354,Vincent Poirier,0.0,2022-04-08
356,Vincent Poirier,0.001,2022-04-10
357,Walter Tavares,0.082,2022-04-10
369,Walter Tavares,0.096,2022-04-13
374,Vincent Poirier,0.0,2022-04-13
378,Walter Tavares,0.067,2022-04-17
382,Vincent Poirier,0.0,2022-04-17
393,Walter Tavares,0.128,2022-04-20
395,Vincent Poirier,0.0,2022-04-20
399,Vincent Poirier,0.139,2022-04-22
403,Walter Tavares,0.153,2022-04-22
411,Walter Tavares,0.005,2022-04-24
415,Vincent Poirier,0.0,2022-04-24
421,Vincent Poirier,0.22,2022-04-26
422,Walter Tavares,0.202,2022-04-26
