,Player,Puntos,Rebotes,Asistencias,Perdidas,Robos,Tapones
0,Walter Tavares,0.2,0.18919,0.05,0.33333,0.66667,0.33333
1,Rudy Fernandez,0.16471,0.08108,0.1,0.0,0.0,0.0
2,Anthony Randolph,0.15294,0.10811,0.05,0.08333,0.0,0.33333
3,Nigel Williams-Goss,0.10588,0.08108,0.25,0.0,0.0,0.0
4,Adam Hanga,0.10588,0.02703,0.1,0.08333,0.0,0.33333
5,Sergio Llull,0.07059,0.10811,0.2,0.25,0.0,0.0
6,Juan Nunez,0.05882,0.0,0.05,0.08333,0.33333,0.0
7,Jeffery Taylor,0.05882,0.02703,0.05,0.16667,0.0,0.0
8,Vincent Poirier,0.04706,0.24324,0.05,0.0,0.0,0.0
9,Fabien Causeur,0.03529,0.08108,0.1,0.0,0.0,0.0
10,Tristan Vukcevic,0.0,0.05405,0.0,0.0,0.0,0.0
0,Fabien Causeur,0.22667,0.09091,0.0,0.14286,0.0,0.0
1,Guerschon Yabusele,0.2,0.18182,0.06667,0.07143,0.2,0.0
2,Sergio Llull,0.16,0.0,0.33333,0.21429,0.2,0.0
3,Rudy Fernandez,0.13333,0.18182,0.06667,0.07143,0.2,0.0
4,Walter Tavares,0.06667,0.24242,0.06667,0.14286,0.0,0.75
5,Nigel Williams-Goss,0.06667,0.0,0.13333,0.14286,0.0,0.0
6,Adam Hanga,0.05333,0.09091,0.06667,0.0,0.2,0.0
7,Anthony Randolph,0.05333,0.06061,0.0,0.0,0.0,0.0
8,Vincent Poirier,0.04,0.12121,0.13333,0.21429,0.2,0.25
9,Jeffery Taylor,0.0,0.0303,0.13333,0.0,0.0,0.0
10,Juan Nunez,0.0,0.0,0.0,0.0,0.0,0.0
0,Vincent Poirier,0.3,0.21212,0.07692,0.0,0.0,0.5
1,Nigel Williams-Goss,0.225,0.15152,0.23077,0.2,0.5,0.0
2,Sergio Llull,0.1,0.15152,0.07692,0.2,0.0,0.0
3,Guerschon Yabusele,0.075,0.15152,0.23077,0.0,0.0,0.0
4,Walter Tavares,0.075,0.09091,0.0,0.1,0.0,0.25
5,Rudy Fernandez,0.0625,0.09091,0.0,0.0,0.0,0.0
6,Adam Hanga,0.05,0.09091,0.07692,0.3,0.25,0.25
7,Jeffery Taylor,0.0375,0.06061,0.23077,0.0,0.25,0.0
8,Anthony Randolph,0.025,0.0,0.0,0.0,0.0,0.0
9,Juan Nunez,0.025,0.0,0.07692,0.2,0.0,0.0
10,Carlos Alocen,0.025,0.0,0.0,0.0,0.0,0.0
0,Nigel Williams-Goss,0.23944,0.17143,0.45455,0.25,0.125,0.0
1,Walter Tavares,0.21127,0.28571,0.09091,0.0,0.25,1.0
2,Urban Klavzar,0.14085,0.02857,0.0,0.0,0.0,0.0
3,Sergio Llull,0.14085,0.11429,0.27273,0.25,0.0,0.0
4,Rudy Fernandez,0.08451,0.14286,0.18182,0.25,0.125,0.0
5,Tristan Vukcevic,0.08451,0.05714,0.0,0.25,0.0,0.0
6,Jeffery Taylor,0.07042,0.14286,0.0,0.0,0.375,0.0
7,Sediq Garuba,0.02817,0.02857,0.0,0.0,0.125,0.0
8,Baba Miller,0.0,0.02857,0.0,0.0,0.0,0.0
0,Thomas Heurtel,0.22222,0.03448,0.15789,0.375,0.0,0.0
1,Guerschon Yabusele,0.17778,0.17241,0.10526,0.125,0.0,0.0
2,Sergio Llull,0.12222,0.13793,0.21053,0.25,0.0,0.0
3,Jeffery Taylor,0.12222,0.0,0.05263,0.0,0.5,0.5
4,Walter Tavares,0.08889,0.24138,0.05263,0.125,0.0,0.5
5,Adam Hanga,0.06667,0.06897,0.21053,0.0,0.5,0.0
6,Nigel Williams-Goss,0.06667,0.0,0.05263,0.0,0.0,0.0
7,Vincent Poirier,0.05556,0.2069,0.05263,0.125,0.0,0.0
8,Alberto Abalde,0.05556,0.13793,0.05263,0.0,0.0,0.0
9,Fabien Causeur,0.02222,0.0,0.05263,0.0,0.0,0.0
10,Anthony Randolph,0.0,0.0,0.0,0.0,0.0,0.0
11,Rudy Fernandez,0.0,0.0,0.0,0.0,0.0,0.0
0,Guerschon Yabusele,0.19101,0.21053,0.15,0.07692,0.0,0.0
1,Alberto Abalde,0.16854,0.10526,0.15,0.15385,0.16667,0.0
2,Anthony Randolph,0.14607,0.31579,0.0,0.15385,0.0,0.0
3,Vincent Poirier,0.1236,0.21053,0.0,0.07692,0.33333,1.0
4,Jeffery Taylor,0.11236,0.02632,0.05,0.15385,0.33333,0.0
5,Trey Thompkins,0.11236,0.0,0.1,0.0,0.0,0.0
6,Fabien Causeur,0.07865,0.05263,0.1,0.07692,0.0,0.0
7,Sergio Llull,0.03371,0.05263,0.15,0.15385,0.0,0.0
8,Thomas Heurtel,0.03371,0.02632,0.15,0.15385,0.16667,0.0
9,Adam Hanga,0.0,0.0,0.1,0.0,0.0,0.0
10,Nigel Williams-Goss,0.0,0.0,0.05,0.0,0.0,0.0
0,Walter Tavares,0.16,0.09375,0.07692,0.0,0.0,0.33333
1,Sergio Llull,0.14667,0.0,0.07692,0.08333,0.0,0.0
2,Vincent Poirier,0.10667,0.125,0.07692,0.0,1.0,0.0
3,Alberto Abalde,0.10667,0.09375,0.23077,0.08333,0.0,0.0
4,Jeffery Taylor,0.10667,0.03125,0.0,0.08333,0.0,0.0
5,Guerschon Yabusele,0.09333,0.15625,0.15385,0.16667,0.0,0.33333
6,Nigel Williams-Goss,0.09333,0.09375,0.23077,0.08333,0.0,0.0
7,Gabriel Deck,0.05333,0.0625,0.0,0.16667,0.0,0.0
8,Thomas Heurtel,0.05333,0.09375,0.15385,0.16667,0.0,0.0
9,Adam Hanga,0.04,0.0625,0.0,0.0,0.0,0.0
10,Rudy Fernandez,0.04,0.125,0.0,0.16667,0.0,0.33333
11,Anthony Randolph,0.0,0.0625,0.0,0.0,0.0,0.0
0,Walter Tavares,0.16471,0.275,0.04762,0.2,0.16667,0.5
1,Guerschon Yabusele,0.15294,0.125,0.09524,0.13333,0.16667,0.0
2,Alberto Abalde,0.12941,0.05,0.09524,0.0,0.16667,0.0
3,Sergio Llull,0.12941,0.05,0.14286,0.13333,0.0,0.0
4,Rudy Fernandez,0.10588,0.075,0.19048,0.0,0.0,0.0
5,Thomas Heurtel,0.07059,0.05,0.19048,0.26667,0.16667,0.0
6,Nigel Williams-Goss,0.05882,0.1,0.09524,0.06667,0.33333,0.0
7,Vincent Poirier,0.05882,0.075,0.04762,0.0,0.0,0.0
8,Trey Thompkins,0.05882,0.025,0.0,0.0,0.0,0.0
9,Jeffery Taylor,0.03529,0.0,0.04762,0.06667,0.0,0.5
10,Anthony Randolph,0.03529,0.05,0.0,0.0,0.0,0.0
11,Carlos Alocen,0.0,0.125,0.04762,0.13333,0.0,0.0
0,Guerschon Yabusele,0.2,0.18868,0.04762,0.10526,0.25,0.16667
1,Vincent Poirier,0.11111,0.26415,0.04762,0.10526,0.0,0.16667
2,Thomas Heurtel,0.11111,0.0,0.42857,0.05263,0.0,0.0
