,Player,Points,Rebounds,Assists,Turnovers,Steals,Blocked_shots
0,Walter Tavares,17,7,1,4,2,1
1,Rudy Fernandez,14,3,2,0,0,0
2,Anthony Randolph,13,4,1,1,0,1
3,Nigel Williams-Goss,9,3,5,0,0,0
4,Adam Hanga,9,1,2,1,0,1
5,Sergio Llull,6,4,4,3,0,0
6,Juan Nunez,5,0,1,1,1,0
7,Jeffery Taylor,5,1,1,2,0,0
8,Vincent Poirier,4,9,1,0,0,0
9,Fabien Causeur,3,3,2,0,0,0
10,Tristan Vukcevic,0,2,0,0,0,0
0,Fabien Causeur,17,3,0,2,0,0
1,Guerschon Yabusele,15,6,1,1,1,0
2,Sergio Llull,12,0,5,3,1,0
3,Rudy Fernandez,10,6,1,1,1,0
4,Walter Tavares,5,8,1,2,0,3
5,Nigel Williams-Goss,5,0,2,2,0,0
6,Adam Hanga,4,3,1,0,1,0
7,Anthony Randolph,4,2,0,0,0,0
8,Vincent Poirier,3,4,2,3,1,1
9,Jeffery Taylor,0,1,2,0,0,0
10,Juan Nunez,0,0,0,0,0,0
0,Vincent Poirier,24,7,1,0,0,2
1,Nigel Williams-Goss,18,5,3,2,2,0
2,Sergio Llull,8,5,1,2,0,0
3,Guerschon Yabusele,6,5,3,0,0,0
4,Walter Tavares,6,3,0,1,0,1
5,Rudy Fernandez,5,3,0,0,0,0
6,Adam Hanga,4,3,1,3,1,1
7,Jeffery Taylor,3,2,3,0,1,0
8,Anthony Randolph,2,0,0,0,0,0
9,Juan Nunez,2,0,1,2,0,0
10,Carlos Alocen,2,0,0,0,0,0
0,Nigel Williams-Goss,17,6,5,1,1,0
1,Walter Tavares,15,10,1,0,2,4
2,Urban Klavzar,10,1,0,0,0,0
3,Sergio Llull,10,4,3,1,0,0
4,Rudy Fernandez,6,5,2,1,1,0
5,Tristan Vukcevic,6,2,0,1,0,0
6,Jeffery Taylor,5,5,0,0,3,0
7,Sediq Garuba,2,1,0,0,1,0
8,Baba Miller,0,1,0,0,0,0
0,Thomas Heurtel,20,1,3,3,0,0
1,Guerschon Yabusele,16,5,2,1,0,0
2,Sergio Llull,11,4,4,2,0,0
3,Jeffery Taylor,11,0,1,0,1,1
4,Walter Tavares,8,7,1,1,0,1
5,Adam Hanga,6,2,4,0,1,0
6,Nigel Williams-Goss,6,0,1,0,0,0
7,Vincent Poirier,5,6,1,1,0,0
8,Alberto Abalde,5,4,1,0,0,0
9,Fabien Causeur,2,0,1,0,0,0
10,Anthony Randolph,0,0,0,0,0,0
11,Rudy Fernandez,0,0,0,0,0,0
0,Guerschon Yabusele,17,8,3,1,0,0
1,Alberto Abalde,15,4,3,2,1,0
2,Anthony Randolph,13,12,0,2,0,0
3,Vincent Poirier,11,8,0,1,2,2
4,Jeffery Taylor,10,1,1,2,2,0
5,Trey Thompkins,10,0,2,0,0,0
6,Fabien Causeur,7,2,2,1,0,0
7,Sergio Llull,3,2,3,2,0,0
8,Thomas Heurtel,3,1,3,2,1,0
9,Adam Hanga,0,0,2,0,0,0
10,Nigel Williams-Goss,0,0,1,0,0,0
0,Walter Tavares,12,3,1,0,0,1
1,Sergio Llull,11,0,1,1,0,0
2,Vincent Poirier,8,4,1,0,2,0
3,Alberto Abalde,8,3,3,1,0,0
4,Jeffery Taylor,8,1,0,1,0,0
5,Guerschon Yabusele,7,5,2,2,0,1
6,Nigel Williams-Goss,7,3,3,1,0,0
7,Gabriel Deck,4,2,0,2,0,0
8,Thomas Heurtel,4,3,2,2,0,0
9,Adam Hanga,3,2,0,0,0,0
10,Rudy Fernandez,3,4,0,2,0,1
11,Anthony Randolph,0,2,0,0,0,0
0,Walter Tavares,14,11,1,3,1,1
1,Guerschon Yabusele,13,5,2,2,1,0
2,Alberto Abalde,11,2,2,0,1,0
3,Sergio Llull,11,2,3,2,0,0
4,Rudy Fernandez,9,3,4,0,0,0
5,Thomas Heurtel,6,2,4,4,1,0
6,Nigel Williams-Goss,5,4,2,1,2,0
7,Vincent Poirier,5,3,1,0,0,0
8,Trey Thompkins,5,1,0,0,0,0
9,Jeffery Taylor,3,0,1,1,0,1
10,Anthony Randolph,3,2,0,0,0,0
11,Carlos Alocen,0,5,1,2,0,0
0,Guerschon Yabusele,18,10,1,2,1,1
1,Vincent Poirier,10,14,1,2,0,1
2,Thomas Heurtel,10,0,9,1,0,0
3,Trey Thompkins,9,3,0,2,0,0
4,Sergio Llull,9,1,0,2,0,0
5,Walter Tavares,8,6,0,2,1,4
6,Gabriel Deck,7,6,2,2,1,0
7,Rudy Fernandez,6,7,5,0,1,0
8,Alberto Abalde,6,4,1,2,0,0
9,Jeffery Taylor,6,2,1,3,0,0
10,Carlos Alocen,1,0,1,1,0,0
11,Anthony Randolph,0,0,0,0,0,0
0,Fabien Causeur,16,4,2,2,2,0
1,Gabriel Deck,15,5,1,1,0,0
2,Anthony Randolph,13,3,0,1,0,0
3,Thomas Heurtel,12,2,3,1,1,0
4,Walter Tavares,8,7,0,0,0,2
5,Trey Thompkins,8,1,0,2,0,0
6,Alberto Abalde,5,3,0,0,0,0
7,Guerschon Yabusele,3,0,1,1,0,0
8,Vincent Poirier,2,2,0,3,0,4
9,Carlos Alocen,1,0,3,0,1,0
10,Jeffery Taylor,0,2,0,2,0,0
0,Thomas Heurtel,20,2,3,1,0,0
1,Walter Tavares,11,9,0,2,0,4
2,Guerschon Yabusele,11,9,1,1,3,1
3,Sergio Llull,8,4,4,1,0,0
4,Rudy Fernandez,8,1,1,0,0,0
5,Nigel Williams-Goss,6,3,3,2,1,0
6,Fabien Causeur,5,3,0,1,0,0
7,Vincent Poirier,3,3,1,0,1,0
8,Alberto Abalde,2,6,2,0,0,0
9,Anthony Randolph,1,2,0,0,0,0
0,Guerschon Yabusele,13,2,1,0,0,0
1,Sergio Llull,13,1,1,1,0,0
2,Trey Thompkins,12,2,0,1,0,0
3,Vincent Poirier,10,8,3,2,3,0
4,Fabien Causeur,9,0,1,0,0,0
5,Rudy Fernandez,8,2,1,0,3,0
6,Walter Tavares,8,4,0,2,0,1
7,Thomas Heurtel,6,4,6,0,0,0
8,Alberto Abalde,6,5,2,1,1,0
9,Carlos Alocen,0,2,1,1,0,0
10,Nigel Williams-Goss,0,0,2,3,0,0
0,Sergio Llull,17,1,2,2,0,0
1,Rudy Fernandez,16,4,3,0,2,1
2,Guerschon Yabusele,15,2,3,3,1,0
3,Thomas Heurtel,13,4,4,3,1,0
4,Walter Tavares,11,3,0,0,1,1
5,Vincent Poirier,9,8,0,0,1,2
6,Nigel Williams-Goss,8,3,1,0,0,0
7,Fabien Causeur,4,0,1,2,0,0
8,Alberto Abalde,0,1,2,0,1,0
9,Carlos Alocen,0,0,0,0,0,0
10,Anthony Randolph,0,1,0,2,1,0
0,Walter Tavares,14,9,2,3,3,1
1,Sergio Llull,12,5,0,2,1,0
2,Rudy Fernandez,9,3,0,0,0,0
3,Carlos Alocen,4,2,5,0,1,0
4,Trey Thompkins,3,4,0,1,0,0
5,Juan Nunez,3,1,1,0,0,0
6,Nigel Williams-Goss,2,3,0,1,0,0
7,Vincent Poirier,2,2,2,1,0,0
8,Fabien Causeur,2,0,0,3,0,0
9,Guerschon Yabusele,0,1,1,0,0,0
10,Anthony Randolph,0,0,0,0,0,0
11,Alberto Abalde,0,2,0,2,0,0
0,Walter Tavares,25,6,1,1,1,0
1,Sergio Llull,8,1,4,1,2,0
2,Fabien Causeur,8,2,0,1,0,0
3,Alberto Abalde,7,4,2,1,0,0
4,Nigel Williams-Goss,5,4,1,0,0,0
5,Guerschon Yabusele,4,3,2,0,1,0
6,Thomas Heurtel,4,0,3,2,0,0
7,Adam Hanga,3,6,0,0,0,0
8,Vincent Poirier,2,4,0,0,1,0
9,Carlos Alocen,2,0,0,0,0,0
10,Anthony Randolph,0,0,0,0,0,0
11,Trey Thompkins,0,2,0,1,0,1
0,Thomas Heurtel,16,4,4,2,1,0
1,Fabien Causeur,16,5,1,3,1,0
2,Vincent Poirier,11,3,0,3,2,2
3,Alberto Abalde,11,6,1,2,0,0
4,Sergio Llull,8,1,1,1,0,0
5,Guerschon Yabusele,7,2,0,1,0,0
6,Adam Hanga,7,1,0,1,0,0
7,Walter Tavares,5,8,2,1,2,1
8,Carlos Alocen,5,1,0,1,0,0
9,Nigel Williams-Goss,4,2,0,0,0,0
10,Trey Thompkins,2,0,2,1,0,0
0,Nigel Williams-Goss,3,1,1,2,2,0
1,Fabien Causeur,6,2,1,0,1,0
2,Juan Nunez,0,0,0,0,0,0
3,Thomas Heurtel,12,4,10,3,0,0
4,Alberto Abalde,11,4,0,0,3,0
5,Adam Hanga,5,0,0,0,0,0
6,Vincent Poirier,2,1,0,0,0,0
7,Walter Tavares,11,11,1,0,4,5
8,Sergio Llull,6,2,2,0,0,0
9,Guerschon Yabusele,17,5,1,5,3,1
10,Trey Thompkins,0,0,0,0,0,0
11,Jeffery Taylor,0,0,0,0,0,0
0,Fabien Causeur,5,2,1,1,1,0
1,Thomas Heurtel,12,3,7,1,0,0
2,Rudy Fernandez,8,5,0,0,1,0
3,Alberto Abalde,7,1,2,1,1,0
4,Adam Hanga,3,0,1,0,0,0
5,Gabriel Deck,2,0,1,2,0,0
6,Vincent Poirier,12,3,2,0,0,1
7,Walter Tavares,15,3,0,0,0,2
8,Sergio Llull,2,1,2,0,2,0
9,Guerschon Yabusele,5,5,5,0,1,0
10,Trey Thompkins,11,0,0,0,2,2
11,Jeffery Taylor,12,0,2,2,0,0
0,Thomas Heurtel,10,1,1,1,0,0
1,Rudy Fernandez,6,2,1,0,0,0
2,Alberto Abalde,8,0,2,2,1,0
3,Adam Hanga,3,3,1,0,2,0
4,Gabriel Deck,8,5,0,2,1,0
5,Vincent Poirier,4,2,1,0,0,1
6,Walter Tavares,5,4,0,5,1,1
7,Sergio Llull,6,0,1,2,0,0
8,Guerschon Yabusele,4,5,0,1,1,0
9,Trey Thompkins,3,1,0,0,0,0
10,Jeffery Taylor,2,5,0,1,3,1
0,Walter Tavares,12,12,0,4,1,2
1,Vincent Poirier,10,3,0,1,1,0
2,Trey Thompkins,7,6,0,1,2,0
3,Sergio Llull,6,2,4,3,1,0
4,Gabriel Deck,4,2,0,1,0,0
5,Alberto Abalde,3,1,2,2,0,0
6,Guerschon Yabusele,3,2,0,1,0,0
7,Adam Hanga,2,0,3,0,1,0
8,Anthony Randolph,0,1,0,0,0,0
9,Jeffery Taylor,0,0,1,0,0,0
10,Nigel Williams-Goss,0,3,2,0,1,0
11,Juan Nunez,0,0,0,1,0,0
0,Walter Tavares,16,4,1,1,1,2
1,Thomas Heurtel,9,1,8,2,0,0
2,Rudy Fernandez,8,1,2,1,3,0
3,Gabriel Deck,8,5,0,1,0,0
4,Sergio Llull,6,1,1,1,1,0
5,Adam Hanga,5,2,0,0,0,2
6,Guerschon Yabusele,5,4,0,2,2,0
7,Anthony Randolph,4,0,1,0,0,0
8,Nigel Williams-Goss,4,2,2,1,0,0
9,Jeffery Taylor,3,2,0,1,0,0
10,Vincent Poirier,2,2,0,0,0,1
11,Alberto Abalde,2,3,1,0,0,0
0,Sergio Llull,20,1,1,2,0,0
