,Player,Points,Rebounds,Assists,Turnovers,Steals,Blocked_shots
2,Anthony Randolph,13,4,1,1,0,1
12,Guerschon Yabusele,15,6,1,1,1,0
18,Anthony Randolph,4,2,0,0,0,0
25,Guerschon Yabusele,6,5,3,0,0,0
30,Anthony Randolph,2,0,0,0,0,0
43,Guerschon Yabusele,16,5,2,1,0,0
52,Anthony Randolph,0,0,0,0,0,0
54,Guerschon Yabusele,17,8,3,1,0,0
56,Anthony Randolph,13,12,0,2,0,0
59,Trey Thompkins,10,0,2,0,0,0
70,Guerschon Yabusele,7,5,2,2,0,1
76,Anthony Randolph,0,2,0,0,0,0
78,Guerschon Yabusele,13,5,2,2,1,0
85,Trey Thompkins,5,1,0,0,0,0
87,Anthony Randolph,3,2,0,0,0,0
89,Guerschon Yabusele,18,10,1,2,1,1
92,Trey Thompkins,9,3,0,2,0,0
100,Anthony Randolph,0,0,0,0,0,0
103,Anthony Randolph,13,3,0,1,0,0
106,Trey Thompkins,8,1,0,2,0,0
108,Guerschon Yabusele,3,0,1,1,0,0
114,Guerschon Yabusele,11,9,1,1,3,1
121,Anthony Randolph,1,2,0,0,0,0
122,Guerschon Yabusele,13,2,1,0,0,0
124,Trey Thompkins,12,2,0,1,0,0
135,Guerschon Yabusele,15,2,3,3,1,0
143,Anthony Randolph,0,1,0,2,1,0
148,Trey Thompkins,3,4,0,1,0,0
153,Guerschon Yabusele,0,1,1,0,0,0
154,Anthony Randolph,0,0,0,0,0,0
161,Guerschon Yabusele,4,3,2,0,1,0
166,Anthony Randolph,0,0,0,0,0,0
167,Trey Thompkins,0,2,0,1,0,1
173,Guerschon Yabusele,7,2,0,1,0,0
178,Trey Thompkins,2,0,2,1,0,0
188,Guerschon Yabusele,17,5,1,5,3,1
189,Trey Thompkins,0,0,0,0,0,0
200,Guerschon Yabusele,5,5,5,0,1,0
201,Trey Thompkins,11,0,0,0,2,2
211,Guerschon Yabusele,4,5,0,1,1,0
212,Trey Thompkins,3,1,0,0,0,0
216,Trey Thompkins,7,6,0,1,2,0
220,Guerschon Yabusele,3,2,0,1,0,0
222,Anthony Randolph,0,1,0,0,0,0
232,Guerschon Yabusele,5,4,0,2,2,0
233,Anthony Randolph,4,0,1,0,0,0
240,Guerschon Yabusele,8,4,0,3,1,1
241,Trey Thompkins,6,4,1,2,1,1
249,Guerschon Yabusele,16,3,1,1,1,0
255,Trey Thompkins,4,1,0,2,0,0
259,Guerschon Yabusele,20,1,0,1,0,0
262,Anthony Randolph,10,2,0,0,1,2
270,Guerschon Yabusele,12,6,1,1,0,1
277,Anthony Randolph,2,2,0,1,0,1
281,Guerschon Yabusele,15,8,1,0,0,0
286,Anthony Randolph,3,3,0,0,0,0
291,Guerschon Yabusele,20,5,5,0,0,0
298,Trey Thompkins,0,0,0,0,0,0
299,Anthony Randolph,0,0,0,0,0,0
300,Guerschon Yabusele,14,7,3,3,3,1
309,Trey Thompkins,0,1,0,1,0,0
313,Guerschon Yabusele,14,2,4,1,2,1
327,Trey Thompkins,8,2,2,0,0,0
331,Guerschon Yabusele,0,6,1,2,1,0
334,Guerschon Yabusele,13,4,1,3,0,1
345,Guerschon Yabusele,12,4,2,1,0,0
351,Anthony Randolph,4,2,1,0,1,0
358,Guerschon Yabusele,13,3,0,0,2,2
362,Anthony Randolph,4,2,1,0,2,0
368,Anthony Randolph,7,5,0,0,0,0
371,Guerschon Yabusele,3,2,2,3,0,0
379,Guerschon Yabusele,13,1,2,2,1,1
380,Anthony Randolph,13,0,0,0,1,2
388,Guerschon Yabusele,15,4,1,4,1,0
394,Anthony Randolph,3,2,0,0,0,0
400,Guerschon Yabusele,16,3,0,2,1,0
406,Anthony Randolph,6,2,1,1,0,0
409,Guerschon Yabusele,16,9,3,2,1,0
416,Anthony Randolph,3,2,0,1,0,0
420,Guerschon Yabusele,16,8,2,1,0,0
428,Anthony Randolph,0,0,0,1,0,0
