,Player,Puntos,Rebotes,Asistencias,Perdidas,Robos,Tapones
2,Anthony Randolph,0.15294,0.10811,0.05,0.08333,0.0,0.33333
12,Guerschon Yabusele,0.2,0.18182,0.06667,0.07143,0.2,0.0
18,Anthony Randolph,0.05333,0.06061,0.0,0.0,0.0,0.0
25,Guerschon Yabusele,0.075,0.15152,0.23077,0.0,0.0,0.0
30,Anthony Randolph,0.025,0.0,0.0,0.0,0.0,0.0
43,Guerschon Yabusele,0.17778,0.17241,0.10526,0.125,0.0,0.0
52,Anthony Randolph,0.0,0.0,0.0,0.0,0.0,0.0
54,Guerschon Yabusele,0.19101,0.21053,0.15,0.07692,0.0,0.0
56,Anthony Randolph,0.14607,0.31579,0.0,0.15385,0.0,0.0
59,Trey Thompkins,0.11236,0.0,0.1,0.0,0.0,0.0
70,Guerschon Yabusele,0.09333,0.15625,0.15385,0.16667,0.0,0.33333
76,Anthony Randolph,0.0,0.0625,0.0,0.0,0.0,0.0
78,Guerschon Yabusele,0.15294,0.125,0.09524,0.13333,0.16667,0.0
85,Trey Thompkins,0.05882,0.025,0.0,0.0,0.0,0.0
87,Anthony Randolph,0.03529,0.05,0.0,0.0,0.0,0.0
89,Guerschon Yabusele,0.2,0.18868,0.04762,0.10526,0.25,0.16667
92,Trey Thompkins,0.1,0.0566,0.0,0.10526,0.0,0.0
100,Anthony Randolph,0.0,0.0,0.0,0.0,0.0,0.0
103,Anthony Randolph,0.15663,0.10345,0.0,0.07692,0.0,0.0
106,Trey Thompkins,0.09639,0.03448,0.0,0.15385,0.0,0.0
108,Guerschon Yabusele,0.03614,0.0,0.1,0.07692,0.0,0.0
114,Guerschon Yabusele,0.14667,0.21429,0.06667,0.125,0.6,0.2
121,Anthony Randolph,0.01333,0.04762,0.0,0.0,0.0,0.0
122,Guerschon Yabusele,0.15294,0.06667,0.05556,0.0,0.0,0.0
124,Trey Thompkins,0.14118,0.06667,0.0,0.09091,0.0,0.0
135,Guerschon Yabusele,0.16129,0.07407,0.1875,0.25,0.125,0.0
143,Anthony Randolph,0.0,0.03704,0.0,0.16667,0.125,0.0
148,Trey Thompkins,0.05882,0.125,0.0,0.07692,0.0,0.0
153,Guerschon Yabusele,0.0,0.03125,0.09091,0.0,0.0,0.0
154,Anthony Randolph,0.0,0.0,0.0,0.0,0.0,0.0
161,Guerschon Yabusele,0.05882,0.09375,0.15385,0.0,0.2,0.0
166,Anthony Randolph,0.0,0.0,0.0,0.0,0.0,0.0
167,Trey Thompkins,0.0,0.0625,0.0,0.14286,0.0,1.0
173,Guerschon Yabusele,0.07609,0.06061,0.0,0.0625,0.0,0.0
178,Trey Thompkins,0.02174,0.0,0.18182,0.0625,0.0,0.0
188,Guerschon Yabusele,0.23288,0.16667,0.0625,0.5,0.23077,0.16667
189,Trey Thompkins,0.0,0.0,0.0,0.0,0.0,0.0
200,Guerschon Yabusele,0.05319,0.21739,0.21739,0.0,0.125,0.0
201,Trey Thompkins,0.11702,0.0,0.0,0.0,0.25,0.4
211,Guerschon Yabusele,0.0678,0.17857,0.0,0.07143,0.11111,0.0
212,Trey Thompkins,0.05085,0.03571,0.0,0.0,0.0,0.0
