,Player,Points,Rebounds,Assists,Turnovers,Steals,Blocked_shots
1,Rudy Fernandez,14,3,2,0,0,0
4,Adam Hanga,9,1,2,1,0,1
7,Jeffery Taylor,5,1,1,2,0,0
9,Fabien Causeur,3,3,2,0,0,0
11,Fabien Causeur,17,3,0,2,0,0
14,Rudy Fernandez,10,6,1,1,1,0
17,Adam Hanga,4,3,1,0,1,0
20,Jeffery Taylor,0,1,2,0,0,0
27,Rudy Fernandez,5,3,0,0,0,0
28,Adam Hanga,4,3,1,3,1,1
29,Jeffery Taylor,3,2,3,0,1,0
37,Rudy Fernandez,6,5,2,1,1,0
39,Jeffery Taylor,5,5,0,0,3,0
45,Jeffery Taylor,11,0,1,0,1,1
47,Adam Hanga,6,2,4,0,1,0
50,Alberto Abalde,5,4,1,0,0,0
51,Fabien Causeur,2,0,1,0,0,0
53,Rudy Fernandez,0,0,0,0,0,0
55,Alberto Abalde,15,4,3,2,1,0
58,Jeffery Taylor,10,1,1,2,2,0
60,Fabien Causeur,7,2,2,1,0,0
63,Adam Hanga,0,0,2,0,0,0
68,Alberto Abalde,8,3,3,1,0,0
69,Jeffery Taylor,8,1,0,1,0,0
72,Gabriel Deck,4,2,0,2,0,0
74,Adam Hanga,3,2,0,0,0,0
75,Rudy Fernandez,3,4,0,2,0,1
79,Alberto Abalde,11,2,2,0,1,0
81,Rudy Fernandez,9,3,4,0,0,0
86,Jeffery Taylor,3,0,1,1,0,1
95,Gabriel Deck,7,6,2,2,1,0
96,Rudy Fernandez,6,7,5,0,1,0
97,Alberto Abalde,6,4,1,2,0,0
98,Jeffery Taylor,6,2,1,3,0,0
101,Fabien Causeur,16,4,2,2,2,0
102,Gabriel Deck,15,5,1,1,0,0
107,Alberto Abalde,5,3,0,0,0,0
111,Jeffery Taylor,0,2,0,2,0,0
116,Rudy Fernandez,8,1,1,0,0,0
118,Fabien Causeur,5,3,0,1,0,0
120,Alberto Abalde,2,6,2,0,0,0
126,Fabien Causeur,9,0,1,0,0,0
127,Rudy Fernandez,8,2,1,0,3,0
130,Alberto Abalde,6,5,2,1,1,0
134,Rudy Fernandez,16,4,3,0,2,1
140,Fabien Causeur,4,0,1,2,0,0
141,Alberto Abalde,0,1,2,0,1,0
146,Rudy Fernandez,9,3,0,0,0,0
152,Fabien Causeur,2,0,0,3,0,0
155,Alberto Abalde,0,2,0,2,0,0
158,Fabien Causeur,8,2,0,1,0,0
159,Alberto Abalde,7,4,2,1,0,0
163,Adam Hanga,3,6,0,0,0,0
169,Fabien Causeur,16,5,1,3,1,0
171,Alberto Abalde,11,6,1,2,0,0
174,Adam Hanga,7,1,0,1,0,0
180,Fabien Causeur,6,2,1,0,1,0
183,Alberto Abalde,11,4,0,0,3,0
184,Adam Hanga,5,0,0,0,0,0
190,Jeffery Taylor,0,0,0,0,0,0
191,Fabien Causeur,5,2,1,1,1,0
193,Rudy Fernandez,8,5,0,0,1,0
194,Alberto Abalde,7,1,2,1,1,0
195,Adam Hanga,3,0,1,0,0,0
196,Gabriel Deck,2,0,1,2,0,0
202,Jeffery Taylor,12,0,2,2,0,0
204,Rudy Fernandez,6,2,1,0,0,0
205,Alberto Abalde,8,0,2,2,1,0
206,Adam Hanga,3,3,1,0,2,0
207,Gabriel Deck,8,5,0,2,1,0
213,Jeffery Taylor,2,5,0,1,3,1
218,Gabriel Deck,4,2,0,1,0,0
219,Alberto Abalde,3,1,2,2,0,0
221,Adam Hanga,2,0,3,0,1,0
223,Jeffery Taylor,0,0,1,0,0,0
228,Rudy Fernandez,8,1,2,1,3,0
229,Gabriel Deck,8,5,0,1,0,0
231,Adam Hanga,5,2,0,0,0,2
235,Jeffery Taylor,3,2,0,1,0,0
237,Alberto Abalde,2,3,1,0,0,0
242,Alberto Abalde,5,5,0,0,0,0
243,Adam Hanga,4,5,5,1,0,0
247,Rudy Fernandez,0,2,2,1,1,0
250,Gabriel Deck,15,6,1,2,1,0
256,Alberto Abalde,3,0,0,1,0,0
257,Rudy Fernandez,2,6,3,0,1,0
258,Adam Hanga,2,0,0,0,0,0
260,Alberto Abalde,13,4,1,1,0,0
263,Gabriel Deck,7,7,6,1,1,0
264,Adam Hanga,7,7,4,0,0,0
269,Rudy Fernandez,17,5,4,0,0,0
273,Gabriel Deck,8,4,0,1,2,0
276,Adam Hanga,2,4,0,0,0,0
280,Gabriel Deck,21,6,0,3,0,0
282,Rudy Fernandez,15,6,3,3,2,0
290,Gabriel Deck,23,10,4,2,1,0
292,Adam Hanga,14,2,0,1,0,0
295,Rudy Fernandez,6,1,0,0,0,1
303,Gabriel Deck,10,6,0,1,0,0
304,Adam Hanga,8,7,2,2,1,2
308,Rudy Fernandez,2,1,4,0,2,0
311,Gabriel Deck,16,10,2,0,0,0
315,Jeffery Taylor,6,2,0,1,1,0
316,Adam Hanga,5,4,1,1,0,0
318,Rudy Fernandez,2,0,1,0,1,0
319,Fabien Causeur,2,1,1,1,0,0
325,Gabriel Deck,12,3,0,3,0,0
326,Rudy Fernandez,9,4,6,0,0,1
329,Jeffery Taylor,4,2,0,0,0,0
330,Fabien Causeur,2,0,0,0,0,0
335,Fabien Causeur,11,1,1,4,2,0
340,Gabriel Deck,3,0,0,0,0,0
341,Jeffery Taylor,0,0,0,1,1,0
342,Rudy Fernandez,0,3,2,2,1,0
343,Gabriel Deck,12,5,1,1,2,0
344,Fabien Causeur,12,2,4,2,1,0
348,Jeffery Taylor,8,0,2,0,0,0
349,Adam Hanga,6,2,4,0,0,0
350,Alberto Abalde,6,0,1,1,1,0
352,Rudy Fernandez,3,2,2,1,0,0
355,Gabriel Deck,17,4,2,1,0,0
359,Adam Hanga,11,2,3,3,2,0
361,Alberto Abalde,7,1,4,2,1,0
363,Jeffery Taylor,4,3,0,0,1,0
364,Fabien Causeur,3,1,0,3,2,0
366,Fabien Causeur,13,1,1,2,1,0
367,Gabriel Deck,8,9,1,2,0,0
370,Adam Hanga,3,3,1,0,1,0
373,Jeffery Taylor,2,3,0,1,0,0
375,Alberto Abalde,0,2,0,1,0,0
376,Gabriel Deck,15,7,2,1,0,0
381,Alberto Abalde,10,1,4,3,2,0
383,Rudy Fernandez,3,4,1,0,2,0
384,Fabien Causeur,3,1,2,0,0,0
387,Fabien Causeur,20,4,5,1,1,0
389,Rudy Fernandez,12,3,1,0,1,0
391,Adam Hanga,11,2,0,1,1,1
392,Alberto Abalde,6,1,1,1,0,0
397,Jeffery Taylor,0,0,0,0,0,0
401,Adam Hanga,9,2,3,1,1,0
404,Alberto Abalde,6,7,2,0,3,0
405,Fabien Causeur,6,4,2,2,0,0
