,Player,Puntos,Rebotes,Asistencias,Perdidas,Robos,Tapones
1,Rudy Fernandez,0.16471,0.08108,0.1,0.0,0.0,0.0
4,Adam Hanga,0.10588,0.02703,0.1,0.08333,0.0,0.33333
7,Jeffery Taylor,0.05882,0.02703,0.05,0.16667,0.0,0.0
9,Fabien Causeur,0.03529,0.08108,0.1,0.0,0.0,0.0
11,Fabien Causeur,0.22667,0.09091,0.0,0.14286,0.0,0.0
14,Rudy Fernandez,0.13333,0.18182,0.06667,0.07143,0.2,0.0
17,Adam Hanga,0.05333,0.09091,0.06667,0.0,0.2,0.0
20,Jeffery Taylor,0.0,0.0303,0.13333,0.0,0.0,0.0
27,Rudy Fernandez,0.0625,0.09091,0.0,0.0,0.0,0.0
28,Adam Hanga,0.05,0.09091,0.07692,0.3,0.25,0.25
29,Jeffery Taylor,0.0375,0.06061,0.23077,0.0,0.25,0.0
37,Rudy Fernandez,0.08451,0.14286,0.18182,0.25,0.125,0.0
39,Jeffery Taylor,0.07042,0.14286,0.0,0.0,0.375,0.0
45,Jeffery Taylor,0.12222,0.0,0.05263,0.0,0.5,0.5
47,Adam Hanga,0.06667,0.06897,0.21053,0.0,0.5,0.0
50,Alberto Abalde,0.05556,0.13793,0.05263,0.0,0.0,0.0
51,Fabien Causeur,0.02222,0.0,0.05263,0.0,0.0,0.0
53,Rudy Fernandez,0.0,0.0,0.0,0.0,0.0,0.0
55,Alberto Abalde,0.16854,0.10526,0.15,0.15385,0.16667,0.0
58,Jeffery Taylor,0.11236,0.02632,0.05,0.15385,0.33333,0.0
60,Fabien Causeur,0.07865,0.05263,0.1,0.07692,0.0,0.0
63,Adam Hanga,0.0,0.0,0.1,0.0,0.0,0.0
68,Alberto Abalde,0.10667,0.09375,0.23077,0.08333,0.0,0.0
69,Jeffery Taylor,0.10667,0.03125,0.0,0.08333,0.0,0.0
72,Gabriel Deck,0.05333,0.0625,0.0,0.16667,0.0,0.0
74,Adam Hanga,0.04,0.0625,0.0,0.0,0.0,0.0
75,Rudy Fernandez,0.04,0.125,0.0,0.16667,0.0,0.33333
79,Alberto Abalde,0.12941,0.05,0.09524,0.0,0.16667,0.0
81,Rudy Fernandez,0.10588,0.075,0.19048,0.0,0.0,0.0
86,Jeffery Taylor,0.03529,0.0,0.04762,0.06667,0.0,0.5
95,Gabriel Deck,0.07778,0.11321,0.09524,0.10526,0.25,0.0
96,Rudy Fernandez,0.06667,0.13208,0.2381,0.0,0.25,0.0
97,Alberto Abalde,0.06667,0.07547,0.04762,0.10526,0.0,0.0
98,Jeffery Taylor,0.06667,0.03774,0.04762,0.15789,0.0,0.0
101,Fabien Causeur,0.19277,0.13793,0.2,0.15385,0.5,0.0
102,Gabriel Deck,0.18072,0.17241,0.1,0.07692,0.0,0.0
107,Alberto Abalde,0.06024,0.10345,0.0,0.0,0.0,0.0
111,Jeffery Taylor,0.0,0.06897,0.0,0.15385,0.0,0.0
116,Rudy Fernandez,0.10667,0.02381,0.06667,0.0,0.0,0.0
118,Fabien Causeur,0.06667,0.07143,0.0,0.125,0.0,0.0
120,Alberto Abalde,0.02667,0.14286,0.13333,0.0,0.0,0.0
126,Fabien Causeur,0.10588,0.0,0.05556,0.0,0.0,0.0
127,Rudy Fernandez,0.09412,0.06667,0.05556,0.0,0.42857,0.0
130,Alberto Abalde,0.07059,0.16667,0.11111,0.09091,0.14286,0.0
134,Rudy Fernandez,0.17204,0.14815,0.1875,0.0,0.25,0.25
140,Fabien Causeur,0.04301,0.0,0.0625,0.16667,0.0,0.0
141,Alberto Abalde,0.0,0.03704,0.125,0.0,0.125,0.0
146,Rudy Fernandez,0.17647,0.09375,0.0,0.0,0.0,0.0
152,Fabien Causeur,0.03922,0.0,0.0,0.23077,0.0,0.0
155,Alberto Abalde,0.0,0.0625,0.0,0.15385,0.0,0.0
158,Fabien Causeur,0.11765,0.0625,0.0,0.14286,0.0,0.0
159,Alberto Abalde,0.10294,0.125,0.15385,0.14286,0.0,0.0
163,Adam Hanga,0.04412,0.1875,0.0,0.0,0.0,0.0
169,Fabien Causeur,0.17391,0.15152,0.09091,0.1875,0.16667,0.0
171,Alberto Abalde,0.11957,0.18182,0.09091,0.125,0.0,0.0
174,Adam Hanga,0.07609,0.0303,0.0,0.0625,0.0,0.0
