,Player,Points,Rebounds,Assists,Turnovers,Steals,Blocked_shots
3,Nigel Williams-Goss,9,3,5,0,0,0
5,Sergio Llull,6,4,4,3,0,0
6,Juan Nunez,5,0,1,1,1,0
13,Sergio Llull,12,0,5,3,1,0
16,Nigel Williams-Goss,5,0,2,2,0,0
21,Juan Nunez,0,0,0,0,0,0
23,Nigel Williams-Goss,18,5,3,2,2,0
24,Sergio Llull,8,5,1,2,0,0
31,Juan Nunez,2,0,1,2,0,0
32,Carlos Alocen,2,0,0,0,0,0
33,Nigel Williams-Goss,17,6,5,1,1,0
36,Sergio Llull,10,4,3,1,0,0
42,Thomas Heurtel,20,1,3,3,0,0
44,Sergio Llull,11,4,4,2,0,0
48,Nigel Williams-Goss,6,0,1,0,0,0
61,Sergio Llull,3,2,3,2,0,0
62,Thomas Heurtel,3,1,3,2,1,0
64,Nigel Williams-Goss,0,0,1,0,0,0
66,Sergio Llull,11,0,1,1,0,0
71,Nigel Williams-Goss,7,3,3,1,0,0
73,Thomas Heurtel,4,3,2,2,0,0
80,Sergio Llull,11,2,3,2,0,0
82,Thomas Heurtel,6,2,4,4,1,0
83,Nigel Williams-Goss,5,4,2,1,2,0
88,Carlos Alocen,0,5,1,2,0,0
91,Thomas Heurtel,10,0,9,1,0,0
93,Sergio Llull,9,1,0,2,0,0
99,Carlos Alocen,1,0,1,1,0,0
104,Thomas Heurtel,12,2,3,1,1,0
110,Carlos Alocen,1,0,3,0,1,0
112,Thomas Heurtel,20,2,3,1,0,0
115,Sergio Llull,8,4,4,1,0,0
117,Nigel Williams-Goss,6,3,3,2,1,0
123,Sergio Llull,13,1,1,1,0,0
129,Thomas Heurtel,6,4,6,0,0,0
131,Carlos Alocen,0,2,1,1,0,0
132,Nigel Williams-Goss,0,0,2,3,0,0
133,Sergio Llull,17,1,2,2,0,0
136,Thomas Heurtel,13,4,4,3,1,0
139,Nigel Williams-Goss,8,3,1,0,0,0
142,Carlos Alocen,0,0,0,0,0,0
145,Sergio Llull,12,5,0,2,1,0
147,Carlos Alocen,4,2,5,0,1,0
149,Juan Nunez,3,1,1,0,0,0
150,Nigel Williams-Goss,2,3,0,1,0,0
157,Sergio Llull,8,1,4,1,2,0
160,Nigel Williams-Goss,5,4,1,0,0,0
162,Thomas Heurtel,4,0,3,2,0,0
165,Carlos Alocen,2,0,0,0,0,0
168,Thomas Heurtel,16,4,4,2,1,0
172,Sergio Llull,8,1,1,1,0,0
176,Carlos Alocen,5,1,0,1,0,0
177,Nigel Williams-Goss,4,2,0,0,0,0
179,Nigel Williams-Goss,3,1,1,2,2,0
181,Juan Nunez,0,0,0,0,0,0
182,Thomas Heurtel,12,4,10,3,0,0
187,Sergio Llull,6,2,2,0,0,0
192,Thomas Heurtel,12,3,7,1,0,0
199,Sergio Llull,2,1,2,0,2,0
203,Thomas Heurtel,10,1,1,1,0,0
210,Sergio Llull,6,0,1,2,0,0
217,Sergio Llull,6,2,4,3,1,0
224,Nigel Williams-Goss,0,3,2,0,1,0
225,Juan Nunez,0,0,0,1,0,0
227,Thomas Heurtel,9,1,8,2,0,0
230,Sergio Llull,6,1,1,1,1,0
234,Nigel Williams-Goss,4,2,2,1,0,0
238,Sergio Llull,20,1,1,2,0,0
245,Thomas Heurtel,2,4,5,2,1,0
246,Nigel Williams-Goss,2,3,1,1,0,0
248,Sergio Llull,20,3,2,1,0,0
251,Nigel Williams-Goss,12,4,3,1,0,0
252,Thomas Heurtel,8,1,2,1,1,0
266,Sergio Llull,6,1,2,1,0,0
267,Thomas Heurtel,4,1,6,5,1,0
268,Juan Nunez,0,1,2,1,0,0
272,Sergio Llull,9,1,4,1,1,0
275,Thomas Heurtel,3,0,7,0,0,0
278,Nigel Williams-Goss,0,4,1,3,0,0
279,Juan Nunez,0,0,0,1,0,0
285,Sergio Llull,4,2,4,1,1,0
287,Thomas Heurtel,3,2,1,3,0,0
288,Nigel Williams-Goss,2,1,1,2,0,0
289,Juan Nunez,0,1,0,3,0,0
293,Nigel Williams-Goss,9,2,7,0,0,0
297,Thomas Heurtel,5,1,2,1,0,0
302,Thomas Heurtel,11,1,5,4,0,0
305,Nigel Williams-Goss,7,3,4,1,0,0
307,Sergio Llull,3,2,3,1,0,0
310,Thomas Heurtel,21,4,6,0,2,0
317,Nigel Williams-Goss,4,2,0,1,0,0
320,Sergio Llull,0,0,6,1,0,0
321,Juan Nunez,0,0,0,0,0,0
322,Thomas Heurtel,18,4,0,4,0,0
323,Sergio Llull,15,0,5,0,1,0
332,Nigel Williams-Goss,0,0,1,0,0,0
333,Sergio Llull,13,2,0,2,0,0
337,Thomas Heurtel,5,2,4,0,0,0
338,Nigel Williams-Goss,4,6,1,0,0,1
346,Sergio Llull,12,1,5,2,0,0
353,Nigel Williams-Goss,3,0,0,0,0,0
360,Sergio Llull,10,2,3,0,0,0
365,Sergio Llull,22,1,0,1,0,0
372,Nigel Williams-Goss,2,1,1,1,2,0
377,Nigel Williams-Goss,14,4,4,2,1,0
385,Sergio Llull,2,4,7,2,0,0
386,Juan Nunez,0,0,1,0,0,0
390,Nigel Williams-Goss,11,4,8,2,1,0
396,Sergio Llull,0,0,3,0,0,0
398,Sergio Llull,17,2,3,2,1,0
402,Nigel Williams-Goss,8,0,3,1,0,0
408,Juan Nunez,2,0,3,1,0,0
410,Nigel Williams-Goss,13,3,3,3,2,0
412,Sergio Llull,8,0,2,1,0,0
417,Juan Nunez,2,2,1,3,0,0
419,Sergio Llull,18,3,6,1,1,0
423,Nigel Williams-Goss,9,3,1,3,0,0
