,Player,Puntos,Rebotes,Asistencias,Perdidas,Robos,Tapones
3,Nigel Williams-Goss,0.10588,0.08108,0.25,0.0,0.0,0.0
5,Sergio Llull,0.07059,0.10811,0.2,0.25,0.0,0.0
6,Juan Nunez,0.05882,0.0,0.05,0.08333,0.33333,0.0
13,Sergio Llull,0.16,0.0,0.33333,0.21429,0.2,0.0
16,Nigel Williams-Goss,0.06667,0.0,0.13333,0.14286,0.0,0.0
21,Juan Nunez,0.0,0.0,0.0,0.0,0.0,0.0
23,Nigel Williams-Goss,0.225,0.15152,0.23077,0.2,0.5,0.0
24,Sergio Llull,0.1,0.15152,0.07692,0.2,0.0,0.0
31,Juan Nunez,0.025,0.0,0.07692,0.2,0.0,0.0
32,Carlos Alocen,0.025,0.0,0.0,0.0,0.0,0.0
33,Nigel Williams-Goss,0.23944,0.17143,0.45455,0.25,0.125,0.0
36,Sergio Llull,0.14085,0.11429,0.27273,0.25,0.0,0.0
42,Thomas Heurtel,0.22222,0.03448,0.15789,0.375,0.0,0.0
44,Sergio Llull,0.12222,0.13793,0.21053,0.25,0.0,0.0
48,Nigel Williams-Goss,0.06667,0.0,0.05263,0.0,0.0,0.0
61,Sergio Llull,0.03371,0.05263,0.15,0.15385,0.0,0.0
62,Thomas Heurtel,0.03371,0.02632,0.15,0.15385,0.16667,0.0
64,Nigel Williams-Goss,0.0,0.0,0.05,0.0,0.0,0.0
66,Sergio Llull,0.14667,0.0,0.07692,0.08333,0.0,0.0
71,Nigel Williams-Goss,0.09333,0.09375,0.23077,0.08333,0.0,0.0
73,Thomas Heurtel,0.05333,0.09375,0.15385,0.16667,0.0,0.0
80,Sergio Llull,0.12941,0.05,0.14286,0.13333,0.0,0.0
82,Thomas Heurtel,0.07059,0.05,0.19048,0.26667,0.16667,0.0
83,Nigel Williams-Goss,0.05882,0.1,0.09524,0.06667,0.33333,0.0
88,Carlos Alocen,0.0,0.125,0.04762,0.13333,0.0,0.0
91,Thomas Heurtel,0.11111,0.0,0.42857,0.05263,0.0,0.0
93,Sergio Llull,0.1,0.01887,0.0,0.10526,0.0,0.0
99,Carlos Alocen,0.01111,0.0,0.04762,0.05263,0.0,0.0
104,Thomas Heurtel,0.14458,0.06897,0.3,0.07692,0.25,0.0
110,Carlos Alocen,0.01205,0.0,0.3,0.0,0.25,0.0
112,Thomas Heurtel,0.26667,0.04762,0.2,0.125,0.0,0.0
115,Sergio Llull,0.10667,0.09524,0.26667,0.125,0.0,0.0
117,Nigel Williams-Goss,0.08,0.07143,0.2,0.25,0.2,0.0
