,Player,Points,Rebounds,Assists,Turnovers,Steals,Blocked_shots
0,Walter Tavares,17,7,1,4,2,1
8,Vincent Poirier,4,9,1,0,0,0
15,Walter Tavares,5,8,1,2,0,3
19,Vincent Poirier,3,4,2,3,1,1
22,Vincent Poirier,24,7,1,0,0,2
26,Walter Tavares,6,3,0,1,0,1
34,Walter Tavares,15,10,1,0,2,4
46,Walter Tavares,8,7,1,1,0,1
49,Vincent Poirier,5,6,1,1,0,0
57,Vincent Poirier,11,8,0,1,2,2
65,Walter Tavares,12,3,1,0,0,1
67,Vincent Poirier,8,4,1,0,2,0
77,Walter Tavares,14,11,1,3,1,1
84,Vincent Poirier,5,3,1,0,0,0
90,Vincent Poirier,10,14,1,2,0,1
94,Walter Tavares,8,6,0,2,1,4
105,Walter Tavares,8,7,0,0,0,2
109,Vincent Poirier,2,2,0,3,0,4
113,Walter Tavares,11,9,0,2,0,4
119,Vincent Poirier,3,3,1,0,1,0
125,Vincent Poirier,10,8,3,2,3,0
128,Walter Tavares,8,4,0,2,0,1
137,Walter Tavares,11,3,0,0,1,1
138,Vincent Poirier,9,8,0,0,1,2
144,Walter Tavares,14,9,2,3,3,1
151,Vincent Poirier,2,2,2,1,0,0
156,Walter Tavares,25,6,1,1,1,0
164,Vincent Poirier,2,4,0,0,1,0
170,Vincent Poirier,11,3,0,3,2,2
175,Walter Tavares,5,8,2,1,2,1
185,Vincent Poirier,2,1,0,0,0,0
186,Walter Tavares,11,11,1,0,4,5
197,Vincent Poirier,12,3,2,0,0,1
198,Walter Tavares,15,3,0,0,0,2
208,Vincent Poirier,4,2,1,0,0,1
209,Walter Tavares,5,4,0,5,1,1
214,Walter Tavares,12,12,0,4,1,2
215,Vincent Poirier,10,3,0,1,1,0
226,Walter Tavares,16,4,1,1,1,2
236,Vincent Poirier,2,2,0,0,0,1
239,Walter Tavares,11,11,2,3,0,0
244,Vincent Poirier,4,3,3,1,0,1
253,Walter Tavares,6,9,3,0,0,0
254,Vincent Poirier,4,4,0,1,0,3
261,Vincent Poirier,12,10,2,0,0,1
265,Walter Tavares,6,5,0,1,0,1
271,Vincent Poirier,10,12,0,0,1,0
274,Walter Tavares,7,11,0,3,1,0
283,Walter Tavares,6,10,2,3,1,3
284,Vincent Poirier,6,3,0,1,0,0
294,Vincent Poirier,8,3,1,0,2,1
296,Walter Tavares,5,3,1,1,0,2
301,Vincent Poirier,13,4,1,1,2,0
306,Walter Tavares,6,12,2,1,0,2
312,Walter Tavares,14,8,1,1,0,2
314,Vincent Poirier,8,7,0,0,0,3
324,Walter Tavares,12,12,2,0,2,1
328,Vincent Poirier,6,0,0,1,0,0
336,Walter Tavares,6,10,1,0,0,6
339,Vincent Poirier,4,4,0,0,0,0
347,Walter Tavares,8,2,3,2,0,0
354,Vincent Poirier,2,1,2,1,0,1
356,Vincent Poirier,14,6,1,1,1,1
357,Walter Tavares,14,5,0,1,0,1
369,Walter Tavares,6,9,2,2,1,1
374,Vincent Poirier,1,5,0,0,0,1
378,Walter Tavares,13,4,0,0,1,3
382,Vincent Poirier,4,8,1,0,1,2
393,Walter Tavares,4,6,0,3,0,2
395,Vincent Poirier,2,1,1,2,0,2
399,Vincent Poirier,16,10,2,1,2,2
403,Walter Tavares,6,7,1,1,2,3
411,Walter Tavares,10,14,0,0,1,2
415,Vincent Poirier,5,2,0,0,0,1
421,Vincent Poirier,14,6,0,1,0,2
422,Walter Tavares,9,3,1,2,1,2
