,Player,Puntos,Rebotes,Asistencias,Perdidas,Robos,Tapones
0,Walter Tavares,0.2,0.18919,0.05,0.33333,0.66667,0.33333
8,Vincent Poirier,0.04706,0.24324,0.05,0.0,0.0,0.0
15,Walter Tavares,0.06667,0.24242,0.06667,0.14286,0.0,0.75
19,Vincent Poirier,0.04,0.12121,0.13333,0.21429,0.2,0.25
22,Vincent Poirier,0.3,0.21212,0.07692,0.0,0.0,0.5
26,Walter Tavares,0.075,0.09091,0.0,0.1,0.0,0.25
34,Walter Tavares,0.21127,0.28571,0.09091,0.0,0.25,1.0
46,Walter Tavares,0.08889,0.24138,0.05263,0.125,0.0,0.5
49,Vincent Poirier,0.05556,0.2069,0.05263,0.125,0.0,0.0
57,Vincent Poirier,0.1236,0.21053,0.0,0.07692,0.33333,1.0
65,Walter Tavares,0.16,0.09375,0.07692,0.0,0.0,0.33333
67,Vincent Poirier,0.10667,0.125,0.07692,0.0,1.0,0.0
77,Walter Tavares,0.16471,0.275,0.04762,0.2,0.16667,0.5
84,Vincent Poirier,0.05882,0.075,0.04762,0.0,0.0,0.0
90,Vincent Poirier,0.11111,0.26415,0.04762,0.10526,0.0,0.16667
94,Walter Tavares,0.08889,0.11321,0.0,0.10526,0.25,0.66667
105,Walter Tavares,0.09639,0.24138,0.0,0.0,0.0,0.33333
109,Vincent Poirier,0.0241,0.06897,0.0,0.23077,0.0,0.66667
113,Walter Tavares,0.14667,0.21429,0.0,0.25,0.0,0.8
119,Vincent Poirier,0.04,0.07143,0.06667,0.0,0.2,0.0
125,Vincent Poirier,0.11765,0.26667,0.16667,0.18182,0.42857,0.0
128,Walter Tavares,0.09412,0.13333,0.0,0.18182,0.0,1.0
137,Walter Tavares,0.11828,0.11111,0.0,0.0,0.125,0.25
138,Vincent Poirier,0.09677,0.2963,0.0,0.0,0.125,0.5
144,Walter Tavares,0.27451,0.28125,0.18182,0.23077,0.6,1.0
151,Vincent Poirier,0.03922,0.0625,0.18182,0.07692,0.0,0.0
156,Walter Tavares,0.36765,0.1875,0.07692,0.14286,0.2,0.0
164,Vincent Poirier,0.02941,0.125,0.0,0.0,0.2,0.0
170,Vincent Poirier,0.11957,0.09091,0.0,0.1875,0.33333,0.66667
175,Walter Tavares,0.05435,0.24242,0.18182,0.0625,0.33333,0.33333
185,Vincent Poirier,0.0274,0.03333,0.0,0.0,0.0,0.0
186,Walter Tavares,0.15068,0.36667,0.0625,0.0,0.30769,0.83333
197,Vincent Poirier,0.12766,0.13043,0.08696,0.0,0.0,0.2
198,Walter Tavares,0.15957,0.13043,0.0,0.0,0.0,0.4
