,Player,Points,Rebounds,Assists,Minutes,Field_percentage,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Turnovers,Steals,Blocked_shots,Valoration
0,Fabien Causeur,5,2,1,19,40.0%,-,1,1,1,1,0,4
1,Thomas Heurtel,12,3,7,23,62.5%,-,0,3,1,0,0,17
2,Rudy Fernandez,8,5,0,14,42.8%,-,0,5,0,1,0,9
3,Alberto Abalde,7,1,2,13,66.6%,100%,0,1,1,1,0,9
4,Adam Hanga,3,0,1,12,33.3%,-,0,0,0,0,0,-1
5,Gabriel Deck,2,0,1,13,33.3%,-,0,0,2,0,0,-1
6,Vincent Poirier,12,3,2,21,71.4%,100.0%,2,1,0,0,1,15
7,Walter Tavares,15,3,0,19,87.5%,25.0%,2,1,0,0,2,19
8,Sergio Llull,2,1,2,13,100.0%,-,0,1,0,2,0,7
9,Guerschon Yabusele,5,5,5,22,50.0%,-,1,4,0,1,0,14
10,Trey Thompkins,11,0,0,18,80.0%,100.0%,0,0,0,2,2,16
11,Jeffery Taylor,12,0,2,13,80.0%,-,0,0,2,0,0,9
